datetime,open,high,low,close,volume
2019-11-01 00:00:00,9149.88,9153.0,9140.27,9141.0,21.855
2019-10-31 23:59:00,9146.73,9153.55,9142.71,9150.0,15.298
2019-10-31 23:58:00,9155.98,9156.0,9140.02,9148.42,79.407
2019-10-31 23:57:00,9156.08,9156.09,9153.07,9155.98,0.664
2019-10-31 23:56:00,9152.13,9158.55,9152.12,9155.0,18.871
2019-10-31 23:55:00,9150.48,9158.37,9150.47,9154.0,17.066
2019-10-31 23:54:00,9147.8,9158.1,9147.78,9152.7,60.936
2019-10-31 23:53:00,9156.19,9158.11,9146.64,9146.64,71.706
2019-10-31 23:52:00,9161.18,9164.0,9154.85,9154.85,38.142
2019-10-31 23:51:00,9158.89,9162.84,9158.89,9161.16,25.601
2019-10-31 23:50:00,9158.0,9158.3,9156.25,9158.3,16.414
2019-10-31 23:49:00,9156.98,9159.73,9156.98,9158.98,43.801
2019-10-31 23:48:00,9154.86,9157.44,9154.86,9156.99,12.909
2019-10-31 23:47:00,9154.4,9158.09,9152.83,9154.85,45.906
2019-10-31 23:46:00,9152.46,9154.4,9152.27,9152.71,15.704
2019-10-31 23:45:00,9151.0,9154.4,9150.99,9154.34,5.492
2019-10-31 23:44:00,9149.0,9151.7,9149.0,9151.0,8.932
2019-10-31 23:43:00,9145.9,9149.77,9145.42,9149.0,2.378
2019-10-31 23:42:00,9145.11,9149.96,9137.23,9149.94,42.08
2019-10-31 23:41:00,9145.52,9150.33,9142.99,9145.36,45.943
2019-10-31 23:40:00,9151.56,9151.6,9145.89,9145.89,13.434
2019-10-31 23:39:00,9147.52,9152.11,9147.52,9149.31,12.133
2019-10-31 23:38:00,9148.86,9148.86,9146.97,9147.52,12.475
2019-10-31 23:37:00,9147.52,9151.0,9147.51,9151.0,5.765
2019-10-31 23:36:00,9150.1,9152.0,9143.89,9143.89,11.351
2019-10-31 23:35:00,9145.06,9153.73,9143.89,9151.99,23.462
2019-10-31 23:34:00,9140.0,9150.0,9135.82,9145.2,57.625
2019-10-31 23:33:00,9149.45,9149.96,9140.01,9140.01,55.504
2019-10-31 23:32:00,9142.38,9149.1,9141.0,9146.34,40.451
2019-10-31 23:31:00,9148.38,9152.0,9140.08,9142.38,44.488
2019-10-31 23:30:00,9145.89,9149.55,9143.31,9148.38,24.237
2019-10-31 23:29:00,9140.7,9149.6,9140.7,9144.93,83.321
2019-10-31 23:28:00,9142.02,9145.99,9139.0,9140.69,48.335
2019-10-31 23:27:00,9149.8,9153.21,9141.75,9141.75,31.986
2019-10-31 23:26:00,9138.62,9154.38,9131.0,9146.11,50.236
2019-10-31 23:25:00,9141.65,9144.0,9138.61,9138.64,22.785
2019-10-31 23:24:00,9153.05,9153.05,9136.78,9141.65,20.955
2019-10-31 23:23:00,9158.0,9165.0,9148.53,9150.3,97.697
2019-10-31 23:22:00,9160.0,9163.0,9148.53,9158.79,87.618
2019-10-31 23:21:00,9152.1,9163.69,9150.66,9161.54,56.28
2019-10-31 23:20:00,9148.4,9152.88,9148.34,9152.14,9.113
2019-10-31 23:19:00,9138.2,9150.0,9138.17,9145.75,39.408
2019-10-31 23:18:00,9146.3,9147.5,9139.26,9139.3,37.375
2019-10-31 23:17:00,9142.34,9147.0,9142.3,9146.28,14.264
2019-10-31 23:16:00,9136.43,9148.8,9133.03,9142.34,95.75
2019-10-31 23:15:00,9147.59,9149.45,9131.0,9140.15,58.652
2019-10-31 23:14:00,9152.88,9152.88,9140.28,9147.59,68.068
2019-10-31 23:13:00,9152.8,9154.46,9139.8,9149.02,101.072
2019-10-31 23:12:00,9143.8,9156.9,9143.74,9152.78,64.136
