datetime,open,high,low,close,volume
2019-10-01 00:00:00,8285.31,8312.3,8277.79,8283.14,225.421
2019-09-30 23:59:00,8279.1,8285.84,8273.0,8285.84,33.319
2019-09-30 23:58:00,8265.41,8288.86,8264.12,8281.7,79.338
2019-09-30 23:57:00,8264.49,8265.53,8260.66,8265.53,3.224
2019-09-30 23:56:00,8263.74,8266.57,8261.62,8264.61,1.47
2019-09-30 23:55:00,8263.71,8266.3,8260.04,8263.86,3.225
2019-09-30 23:54:00,8257.16,8264.18,8255.65,8263.83,12.599
2019-09-30 23:53:00,8261.9,8264.52,8252.39,8256.79,4.711
2019-09-30 23:52:00,8266.54,8266.77,8260.0,8261.9,10.224
2019-09-30 23:51:00,8262.18,8267.29,8257.86,8266.58,10.235
2019-09-30 23:50:00,8269.83,8269.94,8261.06,8261.92,6.304
2019-09-30 23:49:00,8269.43,8272.33,8264.51,8264.51,13.081
2019-09-30 23:48:00,8262.59,8276.79,8262.57,8272.88,17.531
2019-09-30 23:47:00,8261.14,8267.88,8255.33,8267.88,3.132
2019-09-30 23:46:00,8268.05,8272.25,8260.97,8260.97,4.886
2019-09-30 23:45:00,8281.36,8281.36,8263.07,8269.86,7.65
2019-09-30 23:44:00,8271.76,8285.0,8269.97,8277.05,16.63
2019-09-30 23:43:00,8270.07,8273.15,8264.21,8264.26,2.934
2019-09-30 23:42:00,8269.86,8275.0,8265.88,8270.05,4.04
2019-09-30 23:41:00,8259.87,8266.15,8259.87,8266.15,1.69
2019-09-30 23:40:00,8256.84,8264.29,8256.84,8259.57,1.174
2019-09-30 23:39:00,8265.0,8275.23,8256.84,8260.21,22.889
2019-09-30 23:38:00,8260.39,8265.0,8254.93,8261.75,4.457
2019-09-30 23:37:00,8252.9,8260.07,8252.9,8260.07,19.303
2019-09-30 23:36:00,8253.05,8256.18,8252.9,8252.9,9.056
2019-09-30 23:35:00,8244.99,8253.0,8244.33,8253.0,29.057
2019-09-30 23:34:00,8242.02,8248.0,8242.02,8248.0,2.793
2019-09-30 23:33:00,8244.33,8246.61,8239.08,8245.97,7.623
2019-09-30 23:32:00,8245.0,8248.0,8239.8,8244.52,17.858
2019-09-30 23:31:00,8242.49,8246.58,8239.86,8244.53,0.521
2019-09-30 23:30:00,8233.81,8246.33,8233.81,8242.71,2.475
2019-09-30 23:29:00,8233.69,8234.08,8231.1,8234.08,1.286
2019-09-30 23:28:00,8233.66,8238.08,8232.12,8234.02,8.908
2019-09-30 23:27:00,8233.27,8234.83,8227.72,8233.95,10.591
2019-09-30 23:26:00,8240.09,8240.12,8230.93,8233.0,18.915
2019-09-30 23:25:00,8241.34,8244.81,8240.01,8240.01,8.156
2019-09-30 23:24:00,8250.9,8250.9,8240.36,8244.29,5.097
2019-09-30 23:23:00,8253.3,8253.31,8249.29,8252.99,8.471
2019-09-30 23:22:00,8250.92,8254.17,8249.88,8251.17,5.212
2019-09-30 23:21:00,8249.02,8253.65,8247.15,8249.87,1.222
2019-09-30 23:20:00,8244.88,8247.99,8244.08,8244.74,0.761
2019-09-30 23:19:00,8239.0,8250.76,8239.0,8246.2,10.014
2019-09-30 23:18:00,8237.92,8239.23,8235.25,8239.0,0.331
2019-09-30 23:17:00,8238.77,8239.64,8234.7,8238.26,9.83
2019-09-30 23:16:00,8238.8,8241.33,8233.33,8236.86,11.365
2019-09-30 23:15:00,8240.63,8241.04,8237.98,8238.54,16.586
2019-09-30 23:14:00,8239.06,8243.25,8239.06,8240.63,6.072
2019-09-30 23:13:00,8237.97,8240.57,8237.97,8240.57,1.796
2019-09-30 23:12:00,8237.21,8238.46,8234.22,8237.97,2.392
2019-09-30 23:11:00,8229.99,8237.01,8229.99,8235.78,3.839
2019-09-30 23:10:00,8229.31,8231.39,8229.31,8229.99,3.522
2019-09-30 23:09:00,8227.96,8231.39,8227.59,8229.92,3.343
2019-09-30 23:08:00,8228.18,8229.35,8227.51,8228.05,0.857
2019-09-30 23:07:00,8231.04,8231.7,8227.64,8227.64,10.563
2019-09-30 23:06:00,8234.84,8235.99,8230.16,8231.86,14.23
2019-09-30 23:05:00,8234.24,8237.04,8230.62,8236.93,1.992
2019-09-30 23:04:00,8236.47,8236.47,8235.01,8235.09,3.712
2019-09-30 23:03:00,8236.88,8241.19,8235.28,8235.28,23.426
2019-09-30 23:02:00,8234.91,8244.22,8234.29,8236.86,55.076
2019-09-30 23:01:00,8233.81,8235.49,8230.0,8234.91,48.13
2019-09-30 23:00:00,8215.51,8232.63,8214.9,8232.63,10.715
2019-09-30 22:59:00,8218.78,8218.78,8211.77,8215.59,3.733
2019-09-30 22:58:00,8221.01,8221.01,8215.16,8218.92,0.404
2019-09-30 22:57:00,8219.99,8221.35,8214.84,8219.78,11.502
2019-09-30 22:56:00,8220.77,8221.49,8216.19,8220.0,1.035
2019-09-30 22:55:00,8224.79,8225.02,8216.23,8221.7,11.69
2019-09-30 22:54:00,8230.58,8232.8,8220.62,8224.93,8.026
2019-09-30 22:53:00,8225.0,8230.78,8220.23,8229.85,11.067
2019-09-30 22:52:00,8222.0,8226.9,8220.41,8225.06,39.428
2019-09-30 22:51:00,8217.23,8227.3,8217.23,8222.0,36.196
2019-09-30 22:50:00,8207.75,8217.5,8207.75,8217.39,14.725
2019-09-30 22:49:00,8212.28,8212.28,8202.72,8207.75,19.847
2019-09-30 22:48:00,8212.95,8212.95,8206.2,8206.48,15.262
2019-09-30 22:47:00,8209.36,8215.0,8209.31,8214.3,6.636
2019-09-30 22:46:00,8198.3,8210.0,8197.11,8209.58,10.35
2019-09-30 22:45:00,8204.48,8211.55,8198.18,8208.25,7.65
2019-09-30 22:44:00,8205.78,8209.01,8200.17,8204.79,36.2
2019-09-30 22:43:00,8203.43,8214.04,8203.43,8205.77,23.107
2019-09-30 22:42:00,8210.35,8213.69,8201.2,8201.37,2.728
2019-09-30 22:41:00,8212.0,8215.61,8199.65,8209.0,12.184
2019-09-30 22:40:00,8215.12,8220.98,8212.0,8212.0,13.47
2019-09-30 22:39:00,8220.93,8220.93,8213.35,8215.0,3.653
2019-09-30 22:38:00,8215.5,8218.51,8213.91,8216.7,2.19
2019-09-30 22:37:00,8221.0,8225.83,8212.71,8218.08,2.171
2019-09-30 22:36:00,8225.09,8225.09,8211.54,8219.87,12.95
2019-09-30 22:35:00,8232.63,8232.63,8217.9,8217.9,7.19
2019-09-30 22:34:00,8233.83,8236.76,8230.0,8230.0,2.485
2019-09-30 22:33:00,8238.01,8238.01,8229.98,8237.85,10.084
2019-09-30 22:32:00,8240.08,8242.93,8238.01,8241.38,0.688
2019-09-30 22:31:00,8238.01,8243.11,8238.01,8239.83,0.745
2019-09-30 22:30:00,8239.94,8244.61,8234.41,8241.22,8.459
2019-09-30 22:29:00,8236.28,8242.58,8233.12,8242.58,10.674
2019-09-30 22:28:00,8230.0,8240.92,8230.0,8238.09,10.723
2019-09-30 22:27:00,8230.13,8230.13,8227.0,8229.86,5.781
2019-09-30 22:26:00,8230.48,8233.17,8230.13,8230.13,5.992
2019-09-30 22:25:00,8230.28,8235.11,8230.14,8230.35,2.383
2019-09-30 22:24:00,8237.17,8237.65,8230.0,8230.15,2.957
2019-09-30 22:23:00,8236.93,8237.19,8236.73,8237.01,1.557
2019-09-30 22:22:00,8236.8,8239.5,8231.0,8236.7,3.221
2019-09-30 22:21:00,8237.92,8242.58,8235.12,8236.81,2.04
