index,datetime,percentage_change,duration,trend,volatility
0,2023-04-18 12:22:00,,,,
1,2023-04-18 18:02:00,-0.015550168509430662,20400.00m,-1.3923529411764748,
2,2023-04-18 20:54:00,0.015011678345011726,10320.00m,2.615697674418613,
3,2023-04-19 09:08:00,-0.04470428896873433,44040.00m,-1.8527247956403288,
4,2023-04-19 14:39:00,0.014260151410874104,19860.00m,1.2519637462235693,
5,2023-04-19 21:43:00,-0.021242162690334736,25440.00m,-1.4766509433962318,
6,2023-04-19 22:09:00,0.012628127134007872,1560.00m,14.011538461538434,
7,2023-04-20 03:05:00,-0.020689702388695216,17760.00m,-2.0418918918918845,
8,2023-04-20 06:17:00,0.015069106060500085,11520.00m,2.2453124999999923,
9,2023-04-20 12:17:00,-0.02342687323730253,21600.00m,-1.8897222222222203,
10,2023-04-20 12:53:00,0.02013470150569484,2160.00m,15.86111111111111,
11,2023-04-20 19:28:00,-0.03151054268924986,23700.00m,-2.307848101265819,
12,2023-04-21 00:48:00,0.012120606458612859,19200.00m,1.0612499999999954,
13,2023-04-21 06:51:00,-0.018333450878059154,21780.00m,-1.4322314049586817,
14,2023-04-21 13:40:00,0.016337321871823254,24540.00m,1.1119804400978066,
15,2023-04-22 01:17:00,-0.0401655539022158,41820.00m,-1.630416068866573,
16,2023-04-22 23:07:00,0.025920129619059946,78600.00m,0.5373282442748103,
17,2023-04-23 15:19:00,-0.018678841653386218,58320.00m,-0.5353909465020591,
18,2023-04-24 01:18:00,0.022856620336503344,35940.00m,1.0432387312187001,
19,2023-04-24 08:59:00,-0.028285457841794533,27660.00m,-1.7158351409978307,
20,2023-04-24 13:52:00,0.018753289001578667,17580.00m,1.7392491467576743,
21,2023-04-24 17:02:00,-0.024075712969819568,11400.00m,-3.5078947368421054,
22,2023-04-25 00:21:00,0.020353851278824497,26340.00m,1.2526195899772243,
23,2023-04-25 08:23:00,-0.013458169036054108,28920.00m,-0.7697095435684648,
24,2023-04-26 12:57:00,0.10215510426203939,102840.00m,1.6208868144690765,
25,2023-04-26 14:23:00,-0.014816124587560545,5160.00m,-5.163953488372076,
26,2023-04-26 16:07:00,0.012096173383000364,6240.00m,3.4346153846153915,
27,2023-04-26 19:47:00,-0.06992625605610434,13200.00m,-9.499545454545462,
28,2023-04-26 19:54:00,0.012504811618394672,420.00m,49.65714285714317,
29,2023-04-26 20:04:00,-0.02994148140515691,600.00m,-84.27000000000007,
30,2023-04-26 20:16:00,0.022554958941037692,720.00m,51.316666666666606,
31,2023-04-26 20:29:00,-0.013704420087398759,780.00m,-29.43076923076912,
32,2023-04-26 22:00:00,0.04189516041168817,5460.00m,12.67692307692306,
33,2023-04-26 22:31:00,-0.01637212869043887,1860.00m,-15.15161290322583,
34,2023-04-27 00:26:00,0.04262685467038521,6900.00m,10.460000000000013,
35,2023-04-27 01:24:00,-0.026371243482812348,3480.00m,-13.377586206896577,
36,2023-04-27 05:34:00,0.0210603114538352,15000.00m,2.413199999999997,
37,2023-04-27 06:54:00,-0.019966085006290685,4800.00m,-7.3,
38,2023-04-27 11:12:00,0.014937765126144255,15480.00m,1.659689922480623,
39,2023-04-27 12:38:00,-0.013143693845424036,5160.00m,-4.446511627906951,
40,2023-04-27 15:21:00,0.025871256713361216,9780.00m,4.557055214723921,
41,2023-04-27 15:44:00,-0.017050199971481172,1380.00m,-21.834782608695683,
42,2023-04-27 18:44:00,0.03205305332964908,10800.00m,5.155555555555556,
43,2023-04-28 13:53:00,-0.03152275769745654,68940.00m,-0.8197563098346401,
44,2023-04-30 15:30:00,0.03464636586368843,178620.00m,0.3367819952972799,
45,2023-05-01 16:25:00,-0.06361574712682071,89700.00m,-1.2740468227424753,
46,2023-05-01 17:05:00,0.012862034527036615,2400.00m,9.014999999999963,
47,2023-05-01 20:57:00,-0.02587633730798755,13920.00m,-3.1672413793103416,
48,2023-05-02 19:12:00,0.04288585703027277,80100.00m,0.8886142322097373,
49,2023-05-03 02:06:00,-0.01600105379557054,24840.00m,-1.1149758454106244,
50,2023-05-03 08:35:00,0.013034364926989943,23340.00m,0.9511568123393316,
51,2023-05-03 15:06:00,-0.020798775928920366,23460.00m,-1.5296675191815818,
52,2023-05-03 17:42:00,0.02171288141371661,9360.00m,3.9192307692307553,
53,2023-05-03 19:10:00,-0.017931998136935183,5280.00m,-5.862499999999975,
54,2023-05-04 10:35:00,0.03910964504015375,55500.00m,1.1945945945945946,
55,2023-05-04 13:40:00,-0.023120757249079592,11100.00m,-3.669189189189205,
56,2023-05-05 02:01:00,0.026973406647815112,44460.00m,1.0439946018893416,
57,2023-05-05 12:33:00,-0.019596858798724803,37920.00m,-0.9132911392405075,
58,2023-05-06 00:38:00,0.03156545980295396,43500.00m,1.2572413793103447,
59,2023-05-06 15:01:00,-0.046233382570162504,51780.00m,-1.5958285052143693,
60,2023-05-07 01:27:00,0.023987356920607657,37560.00m,1.0886581469648562,
61,2023-05-08 08:56:00,-0.04973824689007057,113340.00m,-0.7660137638962414,
62,2023-05-08 15:01:00,0.014707744173512394,21900.00m,1.113972602739732,
63,2023-05-08 20:10:00,-0.02771648266249345,18540.00m,-2.516181229773463,
64,2023-05-09 13:12:00,0.019285483823658814,61320.00m,0.5146771037181996,
65,2023-05-09 16:05:00,-0.01662566006244517,10380.00m,-2.6716763005780386,
66,2023-05-10 13:03:00,0.03473162095529333,75480.00m,0.7547694753577107,
67,2023-05-10 17:21:00,-0.05181757442280564,15480.00m,-5.681395348837206,
68,2023-05-10 20:19:00,0.04054522610255053,10680.00m,6.109550561797753,
69,2023-05-10 21:23:00,-0.021193576357786265,3840.00m,-9.2421875,
70,2023-05-10 23:04:00,0.01393957807884205,6060.00m,3.7702970297029634,
71,2023-05-12 06:19:00,-0.05711459382570301,112500.00m,-0.8437333333333333,
72,2023-05-12 14:15:00,0.0180344377352422,28560.00m,0.9894957983193278,
73,2023-05-12 19:28:00,-0.027256964686678452,18780.00m,-2.3153354632587884,
74,2023-05-13 18:49:00,0.043761357924448026,84060.00m,0.8078515346181293,
75,2023-05-14 01:16:00,-0.013172907374753602,23220.00m,-0.9188630490956035,
76,2023-05-14 15:09:00,0.01819499084056581,49980.00m,0.5818727490996407,
77,2023-05-15 00:48:00,-0.014533308263192267,34740.00m,-0.6808290155440427,
78,2023-05-15 17:12:00,0.03387991634773299,59040.00m,0.9203252032520309,
79,2023-05-16 01:31:00,-0.02755171827336768,29940.00m,-1.5258517034068093,
80,2023-05-16 08:22:00,0.014765255508132399,24660.00m,0.9654501216544994,
81,2023-05-17 11:44:00,-0.02588492411269243,98520.00m,-0.42990255785627374,
82,2023-05-18 12:15:00,0.03341640065048488,88260.00m,0.6034670292318156,
83,2023-05-18 17:57:00,-0.03950459885256352,20520.00m,-3.1710526315789473,
84,2023-05-19 15:20:00,0.028963137135922357,76980.00m,0.5952455183164463,
85,2023-05-19 15:34:00,-0.016099249217704725,840.00m,-31.19999999999995,
86,2023-05-21 00:58:00,0.02088413891792065,120240.00m,0.2781936127744511,
87,2023-05-22 02:05:00,-0.026236221397014575,90420.00m,-0.4744525547445255,
88,2023-05-23 05:54:00,0.03329263605326822,100140.00m,0.5293588975434392,
89,2023-05-24 15:09:00,-0.04806917351363384,119700.00m,-0.660701754385966,
90,2023-05-24 20:32:00,0.014048301331657935,19380.00m,1.135294117647061,
91,2023-05-25 01:27:00,-0.021949791269196623,17700.00m,-1.9694915254237289,
92,2023-05-26 14:34:00,0.03888985456863083,133620.00m,0.4520880107768295,
93,2023-05-27 13:57:00,-0.012407372291813094,84180.00m,-0.2378474697077696,
94,2023-05-29 00:22:00,0.0690545750256009,123900.00m,0.8882324455205814,
95,2023-05-29 17:05:00,-0.030331950499721764,60180.00m,-0.8587238285144558,
96,2023-05-30 10:37:00,0.017563420436180012,63120.00m,0.4596958174904929,
97,2023-05-31 16:07:00,-0.041483897908851756,106200.00m,-0.6566666666666662,
98,2023-06-01 00:16:00,0.01747108632027349,29340.00m,0.9595092024539893,
99,2023-06-01 03:05:00,-0.024962488563586405,10140.00m,-4.036094674556205,
100,2023-06-01 16:56:00,0.018151177236712165,49860.00m,0.5819494584837528,
101,2023-06-02 00:38:00,-0.022336092013344938,27720.00m,-1.3114718614718648,
102,2023-06-03 15:58:00,0.029573237407901895,141600.00m,0.3323305084745775,
103,2023-06-03 21:12:00,-0.013935227743005834,18840.00m,-1.2117834394904459,
104,2023-06-04 22:16:00,0.017396859354340218,90240.00m,0.3114361702127645,
105,2023-06-05 16:03:00,-0.06796311439502353,64020.00m,-1.7447985004686044,
106,2023-06-05 16:17:00,0.015949175711191477,840.00m,29.08571428571434,
107,2023-06-05 19:27:00,-0.020336722144473615,11400.00m,-2.776315789473684,
108,2023-06-05 23:29:00,0.016957356714467922,14520.00m,1.7805785123967002,
109,2023-06-06 12:11:00,-0.016353413281634033,45720.00m,-0.5545931758530213,
110,2023-06-07 00:45:00,0.07699721862693805,45240.00m,2.595755968169762,
111,2023-06-07 10:02:00,-0.03611152712382603,33420.00m,-1.7748653500897638,
112,2023-06-07 11:32:00,0.021229588027755382,5400.00m,6.224444444444453,
113,2023-06-07 15:01:00,-0.02506317746466335,12540.00m,-3.231578947368428,
114,2023-06-07 15:32:00,0.013523646398325217,1860.00m,11.461290322580622,
115,2023-06-07 21:59:00,-0.018247846235888727,23220.00m,-1.25555555555555,
116,2023-06-08 15:53:00,0.024179573787674137,64440.00m,0.5885474860335181,
117,2023-06-09 02:24:00,-0.016911929483827567,37860.00m,-0.7175911251980971,
118,2023-06-09 13:23:00,0.016522802911721268,39540.00m,0.6599393019726826,
119,2023-06-10 05:51:00,-0.04851603933308661,59280.00m,-1.3138663967611321,
120,2023-06-10 17:44:00,0.026317856862282975,42780.00m,0.9396914446002805,
121,2023-06-10 18:58:00,-0.023170545009185604,4440.00m,-8.1810810810811,
122,2023-06-11 20:11:00,0.025502887636839566,90780.00m,0.430204890945143,
123,2023-06-12 02:49:00,-0.01969167287523646,23880.00m,-1.294974874371863,
124,2023-06-12 09:09:00,0.015702643609620412,22800.00m,1.0602631578947406,
125,2023-06-12 17:23:00,-0.015805226200069123,29640.00m,-0.8338056680161974,
126,2023-06-13 12:31:00,0.028375264629168388,68880.00m,0.6339721254355426,
127,2023-06-13 15:58:00,-0.02479442239232055,12420.00m,-3.1594202898550723,
128,2023-06-14 02:00:00,0.01224589762429586,36120.00m,0.5232558139534884,
129,2023-06-15 11:17:00,-0.04567572653708643,119820.00m,-0.5955433149724602,
130,2023-06-15 21:33:00,0.036183125005030556,36960.00m,1.4595779220779257,
131,2023-06-16 14:46:00,-0.019046361422573724,61980.00m,-0.47473378509196656,
132,2023-06-17 06:23:00,0.05946795579891754,56220.00m,1.6029882604055496,
133,2023-06-19 00:54:00,-0.017197759283688316,153060.00m,-0.18039984319874586,
134,2023-06-19 18:15:00,0.026422957439608256,62460.00m,0.6675312199807891,
135,2023-06-19 19:00:00,-0.021589982959176086,2700.00m,-12.951111111111095,
136,2023-06-20 01:14:00,0.027211940388925937,22440.00m,1.9216577540106972,
137,2023-06-20 14:29:00,-0.017357233163410164,47700.00m,-0.5923270440251591,
138,2023-06-21 16:35:00,0.15329532240519153,93960.00m,2.609642401021712,
139,2023-06-21 17:44:00,-0.028029935893474512,4140.00m,-12.489855072463758,
140,2023-06-21 18:23:00,0.012886537567051106,2340.00m,9.874358974358938,
141,2023-06-21 21:43:00,-0.015097955003468895,12000.00m,-2.285,
142,2023-06-22 02:57:00,0.022460754058768233,18840.00m,2.1324840764331165,
143,2023-06-22 11:56:00,-0.02008424754606048,32340.00m,-1.1358070500927588,
144,2023-06-22 13:48:00,0.015273155804937396,6720.00m,4.0732142857142595,
145,2023-06-22 14:54:00,-0.022274909647294696,3960.00m,-10.234848484848484,
146,2023-06-22 20:02:00,0.019322025895359595,18480.00m,1.8600649350649399,
