datetime,sigai_output
2023-05-03 23:00:00,0.003899
2023-05-15 23:00:00,0.002491
2023-06-04 07:00:00,0.004071
2023-06-23 07:00:00,0.008418
2023-06-24 23:00:00,0.006479
2023-07-15 23:00:00,-0.004368
2023-07-25 15:00:00,0.004493
2023-07-30 03:00:00,0.003631
2023-07-31 07:00:00,0.004901
2023-08-06 14:00:00,0.011126
2023-08-14 15:00:00,0.010544
2023-08-20 23:00:00,-0.00432
2023-09-10 16:00:00,0.002246
2023-09-14 07:00:00,0.000397
2023-09-21 07:00:00,0.001233
2023-09-22 15:00:00,-0.001047
2023-10-16 13:00:00,0.005491
2023-10-31 23:00:00,0.010766
2023-11-05 23:00:00,0.017116
2023-11-07 23:00:00,0.008889
2023-11-14 15:00:00,0.014999
2023-11-19 23:00:00,0.008082
2023-11-21 23:00:00,0.007892
2023-12-25 23:00:00,0.027474
2023-12-28 07:00:00,0.03437
2023-12-30 06:00:00,0.036756
2023-12-31 23:00:00,0.037049
2024-01-01 23:00:00,0.03934
2024-01-14 23:00:00,0.009982
2024-01-15 15:00:00,0.012349
2024-01-19 23:00:00,0.009882
2024-01-26 15:00:00,0.009748
2024-01-30 07:00:00,0.010237
2024-02-20 23:00:00,0.011622
2024-03-04 07:00:00,0.055529
2024-03-11 07:00:00,0.058849
2024-03-12 16:00:00,0.074344
2024-03-17 01:00:00,0.024601
2023-05-04 00:00:00,0.012085
2023-05-16 00:00:00,0.011823
2023-06-04 08:00:00,0.008542
2023-06-23 08:00:00,0.010838
2023-06-25 00:00:00,0.010352
2023-07-16 00:00:00,0.004104
2023-07-25 16:00:00,0.007282
2023-07-30 04:00:00,0.004911
2023-07-31 08:00:00,0.010752
2023-08-06 15:00:00,0.011489
2023-08-14 16:00:00,0.014766
2023-08-21 00:00:00,-0.001251
2023-09-10 17:00:00,0.004489
2023-09-14 08:00:00,0.007015
2023-09-21 08:00:00,0.004484
2023-09-22 16:00:00,0.00257
2023-10-16 14:00:00,0.007034
2023-11-01 00:00:00,0.01547
2023-11-06 00:00:00,0.022628
2023-11-08 00:00:00,0.011858
2023-11-14 16:00:00,0.021318
2023-11-20 00:00:00,0.010698
2023-11-22 00:00:00,0.010459
2023-12-26 00:00:00,0.041525
2023-12-28 08:00:00,0.051399
2023-12-30 07:00:00,0.03915
2024-01-01 00:00:00,0.042276
2024-01-02 00:00:00,0.062863
2024-01-15 00:00:00,0.013428
2024-01-15 16:00:00,0.016188
2024-01-20 00:00:00,0.013683
2024-01-26 16:00:00,0.013582
2024-01-30 08:00:00,0.011994
2024-02-21 00:00:00,0.028082
2024-03-04 08:00:00,0.076997
2024-03-11 08:00:00,0.104424
2024-03-12 17:00:00,0.080769
2024-03-17 02:00:00,0.031651
