datetime,sigai_output
2023-04-18 03:00:00,0.002986
2023-05-12 07:00:00,0.003428
2023-05-18 23:00:00,0.005406
2023-05-31 23:00:00,0.007429
2023-06-19 07:00:00,0.010403
2023-06-29 03:00:00,0.006899
2023-07-02 23:00:00,0.010893
2023-07-05 15:00:00,0.008778
2023-07-16 15:00:00,0.002688
2023-07-22 07:00:00,0.003054
2023-08-09 15:00:00,0.012432
2023-08-23 00:00:00,0.003408
2023-08-30 19:00:00,0.004704
2023-09-06 15:00:00,0.004664
2023-09-15 23:00:00,0.00349
2023-09-30 07:00:00,0.007168
2023-10-05 07:00:00,0.004525
2023-10-05 11:00:00,0.004629
2023-10-10 19:00:00,0.004972
2023-10-12 07:00:00,0.009692
2023-10-30 23:00:00,0.015884
2023-11-14 23:00:00,0.0168
2023-11-15 15:00:00,0.014244
2023-11-17 23:00:00,0.009976
2023-11-25 15:00:00,0.011102
2023-12-01 23:00:00,0.018177
2023-12-18 23:00:00,0.021875
2024-01-11 23:00:00,0.020766
2024-01-14 15:00:00,0.010104
2024-01-15 20:00:00,0.01353
2024-02-04 23:00:00,0.006104
2024-02-05 23:00:00,0.012144
2024-02-09 15:00:00,0.014345
2024-02-15 15:00:00,0.015968
2024-02-21 07:00:00,0.017232
2024-03-12 20:00:00,0.067826
2024-03-23 01:00:00,0.013675
2024-04-05 15:00:00,0.006281
2024-04-10 14:00:00,0.009205
2023-04-18 04:00:00,8.2e-05
2023-05-12 08:00:00,-0.001137
2023-05-19 00:00:00,0.00127
2023-06-01 00:00:00,0.00382
2023-06-19 08:00:00,0.00813
2023-06-29 04:00:00,0.005314
2023-07-03 00:00:00,0.009991
2023-07-05 16:00:00,0.006089
2023-07-16 16:00:00,-0.002594
2023-07-22 08:00:00,-0.004009
2023-08-09 16:00:00,0.009453
2023-08-23 01:00:00,0.002455
2023-08-30 20:00:00,0.001484
2023-09-06 16:00:00,0.001949
2023-09-16 00:00:00,-0.000795
2023-09-30 08:00:00,0.005692
2023-10-05 08:00:00,0.003201
2023-10-05 12:00:00,0.003421
2023-10-10 20:00:00,0.003781
2023-10-12 08:00:00,0.005327
2023-10-31 00:00:00,0.011924
2023-11-15 00:00:00,0.010662
2023-11-15 16:00:00,0.007982
2023-11-18 00:00:00,0.008126
2023-11-25 16:00:00,0.006397
2023-12-02 00:00:00,0.009109
2023-12-19 00:00:00,0.010291
2024-01-12 00:00:00,0.007892
2024-01-14 16:00:00,0.005635
2024-01-15 21:00:00,0.011858
2024-02-05 00:00:00,0.002226
2024-02-06 00:00:00,0.006231
2024-02-09 16:00:00,0.007239
2024-02-15 16:00:00,0.009404
2024-02-21 08:00:00,0.007844
2024-03-12 21:00:00,0.058415
2024-03-23 02:00:00,0.009653
2024-04-05 16:00:00,0.004807
2024-04-10 15:00:00,0.007659
