datetime,sigai_output
2023-05-05 23:00:00,0.004612
2023-05-14 03:00:00,0.004498
2023-05-15 15:00:00,0.006751
2023-05-16 07:00:00,0.010308
2023-05-18 03:00:00,0.008126
2023-06-21 15:00:00,0.015738
2023-07-02 19:00:00,0.010964
2023-07-12 15:00:00,0.009423
2023-07-17 07:00:00,0.003406
2023-07-26 15:00:00,0.006417
2023-07-28 23:00:00,0.00889
2023-08-14 23:00:00,0.015433
2023-08-15 15:00:00,0.018304
2023-08-24 23:00:00,0.007561
2023-08-29 14:00:00,0.003174
2023-08-31 15:00:00,0.00769
2023-09-12 15:00:00,0.004861
2023-09-19 23:00:00,0.002197
2023-09-21 15:00:00,0.00428
2023-10-09 08:00:00,0.004646
2023-10-09 15:00:00,0.004033
2023-10-10 15:00:00,0.006099
2023-10-16 23:00:00,0.009312
2023-11-08 07:00:00,0.010773
2023-11-11 15:00:00,0.016071
2023-11-18 15:00:00,0.011498
2023-11-20 15:00:00,0.01165
2023-11-30 15:00:00,0.007891
2023-12-09 15:00:00,0.024003
2023-12-30 15:00:00,0.043353
2024-01-21 07:00:00,0.005153
2024-01-26 07:00:00,0.010717
2024-02-13 07:00:00,0.016731
2024-02-14 23:00:00,0.017445
2024-02-25 15:00:00,0.02393
2024-02-29 20:00:00,0.072615
2023-05-06 00:00:00,-0.000962
2023-05-14 04:00:00,-0.000343
2023-05-15 16:00:00,-0.003185
2023-05-16 08:00:00,-0.001857
2023-05-18 04:00:00,0.00521
2023-06-21 16:00:00,0.005136
2023-07-02 20:00:00,0.009975
2023-07-12 16:00:00,0.005179
2023-07-17 08:00:00,-0.00193
2023-07-26 16:00:00,0.003891
2023-07-29 00:00:00,0.005087
2023-08-15 00:00:00,0.010446
2023-08-15 16:00:00,0.011838
2023-08-25 00:00:00,0.001688
2023-08-29 15:00:00,0.000102
2023-08-31 16:00:00,0.002138
2023-09-12 16:00:00,0.000136
2023-09-20 00:00:00,-0.002602
2023-09-21 16:00:00,0.001588
2023-10-09 09:00:00,0.001785
2023-10-09 16:00:00,0.00163
2023-10-10 16:00:00,0.002467
2023-10-17 00:00:00,0.003457
2023-11-08 08:00:00,0.007767
2023-11-11 16:00:00,0.009626
2023-11-18 16:00:00,0.008281
2023-11-20 16:00:00,0.00914
2023-11-30 16:00:00,0.005073
2023-12-09 16:00:00,0.013756
2023-12-30 16:00:00,0.033186
2024-01-21 08:00:00,0.002969
2024-01-26 08:00:00,0.008533
2024-02-13 08:00:00,0.012187
2024-02-15 00:00:00,0.00863
2024-02-25 16:00:00,0.016205
2024-02-29 21:00:00,0.059875
