datetime,sigai_output
2023-04-20 11:00:00,-0.001009
2023-04-26 13:00:00,0.002921
2023-05-11 23:00:00,-0.000867
2023-05-15 07:00:00,-0.004809
2023-06-11 07:00:00,0.001448
2023-06-12 15:00:00,0.004916
2023-06-19 23:00:00,0.007729
2023-07-03 03:00:00,0.010496
2023-07-06 07:00:00,0.006867
2023-07-19 08:00:00,0.004545
2023-07-19 18:00:00,0.005019
2023-07-26 07:00:00,0.00297
2023-09-11 07:00:00,0.000975
2023-09-20 15:00:00,-0.001836
2023-09-23 23:00:00,-0.000902
2023-10-01 11:00:00,0.002444
2023-10-06 07:00:00,0.001236
2023-10-09 13:00:00,0.002889
2023-10-23 23:00:00,0.002133
2023-11-01 15:00:00,0.013446
2023-11-03 15:00:00,0.008317
2023-11-22 15:00:00,0.00787
2023-12-24 03:00:00,0.008448
2024-01-19 15:00:00,0.010145
2024-01-24 07:00:00,0.008319
2024-01-29 07:00:00,0.007191
2024-02-09 07:00:00,0.008873
2024-02-14 08:00:00,0.007935
2024-02-17 23:00:00,0.008626
2024-02-21 23:00:00,0.009887
2024-02-25 23:00:00,0.018035
2024-02-26 15:00:00,0.012787
2024-03-08 11:00:00,0.033399
2024-03-09 23:00:00,0.020199
2024-03-21 16:00:00,0.011471
2024-03-25 15:00:00,0.016838
2024-04-11 02:00:00,0.007735
2023-04-20 12:00:00,0.001073
2023-04-26 14:00:00,0.00382
2023-05-12 00:00:00,0.006341
2023-05-15 08:00:00,0.002788
2023-06-11 08:00:00,0.003485
2023-06-12 16:00:00,0.006776
2023-06-20 00:00:00,0.010124
2023-07-03 04:00:00,0.010975
2023-07-06 08:00:00,0.007913
2023-07-19 09:00:00,0.006175
2023-07-19 19:00:00,0.006279
2023-07-26 08:00:00,0.006016
2023-09-11 08:00:00,0.004375
2023-09-20 16:00:00,0.001398
2023-09-24 00:00:00,0.005829
2023-10-01 12:00:00,0.003311
2023-10-06 08:00:00,0.002628
2023-10-09 14:00:00,0.003841
2023-10-24 00:00:00,0.020362
2023-11-01 16:00:00,0.016004
2023-11-03 16:00:00,0.011998
2023-11-22 16:00:00,0.009868
2023-12-24 04:00:00,0.009299
2024-01-19 16:00:00,0.017504
2024-01-24 08:00:00,0.010482
2024-01-29 08:00:00,0.010437
2024-02-09 08:00:00,0.015372
2024-02-14 09:00:00,0.012413
2024-02-18 00:00:00,0.015582
2024-02-22 00:00:00,0.021499
2024-02-26 00:00:00,0.022118
2024-02-26 16:00:00,0.017829
2024-03-08 12:00:00,0.039597
2024-03-10 00:00:00,0.027538
2024-03-21 17:00:00,0.014456
2024-03-25 16:00:00,0.025835
2024-04-11 03:00:00,0.009474
