datetime,sigai_output
2023-05-19 07:00:00,0.002491
2023-05-26 11:00:00,0.003577
2023-05-27 15:00:00,-0.000652
2023-06-02 07:00:00,0.005532
2023-06-02 23:00:00,0.005708
2023-06-09 15:00:00,0.005685
2023-06-21 23:00:00,0.008831
2023-07-03 07:00:00,0.010341
2023-07-17 15:00:00,-0.002529
2023-08-05 07:00:00,0.009972
2023-08-13 23:00:00,0.007489
2023-08-15 07:00:00,0.011483
2023-10-09 23:00:00,0.002856
2023-10-14 07:00:00,0.007803
2023-10-29 15:00:00,0.018089
2023-11-11 23:00:00,0.010331
2023-12-14 23:00:00,0.007291
2023-12-19 07:00:00,0.014427
2023-12-25 07:00:00,0.019148
2023-12-28 01:00:00,0.029873
2024-01-12 15:00:00,0.008335
2024-01-23 15:00:00,0.006694
2024-01-25 23:00:00,0.008545
2024-02-05 07:00:00,0.003101
2024-02-15 23:00:00,0.011833
2024-02-25 07:00:00,0.014776
2024-03-24 07:00:00,0.011935
2024-03-26 23:00:00,0.029842
2024-04-08 08:00:00,0.010912
2023-05-19 08:00:00,0.008441
2023-05-26 12:00:00,0.006088
2023-05-27 16:00:00,0.006692
2023-06-02 08:00:00,0.00959
2023-06-03 00:00:00,0.011431
2023-06-09 16:00:00,0.011053
2023-06-22 00:00:00,0.022531
2023-07-03 08:00:00,0.013018
2023-07-17 16:00:00,0.003391
2023-08-05 08:00:00,0.01368
2023-08-14 00:00:00,0.010992
2023-08-15 08:00:00,0.018232
2023-10-10 00:00:00,0.0051
2023-10-14 08:00:00,0.011263
2023-10-29 16:00:00,0.025612
2023-11-12 00:00:00,0.018841
2023-12-15 00:00:00,0.011084
2023-12-19 08:00:00,0.035366
2023-12-25 08:00:00,0.035312
2023-12-28 02:00:00,0.038316
2024-01-12 16:00:00,0.052468
2024-01-23 16:00:00,0.010971
2024-01-26 00:00:00,0.012281
2024-02-05 08:00:00,0.010182
2024-02-16 00:00:00,0.017049
2024-02-25 08:00:00,0.024455
2024-03-24 08:00:00,0.016902
2024-03-27 00:00:00,0.035181
2024-04-08 09:00:00,0.015842
