datetime,sigai_output
2023-04-19 07:00:00,0.007637
2023-04-26 07:00:00,0.004278
2023-04-28 07:00:00,0.004903
2023-05-08 03:00:00,-0.008424
2023-06-02 15:00:00,0.0074
2023-06-18 15:00:00,0.010824
2023-06-20 23:00:00,0.009902
2023-06-30 15:00:00,0.01178
2023-07-30 15:00:00,0.004508
2023-09-07 23:00:00,0.005363
2023-09-13 15:00:00,0.002679
2023-09-17 03:00:00,0.003918
2023-09-18 15:00:00,0.002348
2023-09-27 23:00:00,0.010672
2023-11-03 23:00:00,0.00983
2023-11-06 07:00:00,0.019165
2023-11-22 07:00:00,0.009238
2023-11-24 23:00:00,0.01511
2023-11-27 07:00:00,0.009921
2023-11-28 23:00:00,0.008613
2023-12-06 07:00:00,0.01465
2023-12-13 23:00:00,0.018114
2023-12-20 07:00:00,0.031126
2024-01-20 07:00:00,0.011937
2024-01-24 15:00:00,0.010149
2024-01-27 23:00:00,0.007674
2024-02-01 03:00:00,0.007728
2024-02-04 03:00:00,0.008442
2024-02-08 15:00:00,0.011563
2024-02-17 15:00:00,0.014351
2023-04-19 08:00:00,0.003771
2023-04-26 08:00:00,0.000704
2023-04-28 08:00:00,0.001387
2023-05-08 04:00:00,-0.026908
2023-06-02 16:00:00,0.001875
2023-06-18 16:00:00,0.007023
2023-06-21 00:00:00,0.004487
2023-06-30 16:00:00,0.007418
2023-07-30 16:00:00,0.002143
2023-09-08 00:00:00,-0.007601
2023-09-13 16:00:00,-0.00372
2023-09-17 04:00:00,-0.000586
2023-09-18 16:00:00,-0.005699
2023-09-28 00:00:00,0.006418
2023-11-04 00:00:00,0.003523
2023-11-06 08:00:00,0.012637
2023-11-22 08:00:00,0.006257
2023-11-25 00:00:00,0.005993
2023-11-27 08:00:00,0.006666
2023-11-29 00:00:00,0.003405
2023-12-06 08:00:00,0.009114
2023-12-14 00:00:00,0.006127
2023-12-20 08:00:00,0.009291
2024-01-20 08:00:00,0.004871
2024-01-24 16:00:00,0.007471
2024-01-28 00:00:00,0.001274
2024-02-01 04:00:00,0.003271
2024-02-04 04:00:00,0.006549
2024-02-08 16:00:00,0.007103
2024-02-17 16:00:00,0.007519
