datetime,sigai_output
2023-04-21 23:00:00,0.011369
2023-04-26 23:00:00,0.009414
2023-04-30 19:00:00,0.006825
2023-05-04 07:00:00,0.012012
2023-05-11 15:00:00,0.005807
2023-05-14 23:00:00,0.005336
2023-05-16 23:00:00,0.012731
2023-05-19 15:00:00,0.007744
2023-05-23 15:00:00,0.014849
2023-05-27 23:00:00,0.008579
2023-05-29 07:00:00,0.01442
2023-06-01 23:00:00,0.007093
2023-06-03 07:00:00,0.010773
2023-06-04 23:00:00,0.011243
2023-06-09 02:00:00,0.007775
2023-06-12 07:00:00,0.007134
2023-06-13 15:00:00,0.01226
2023-06-20 07:00:00,0.011085
2023-06-22 07:00:00,0.021298
2023-06-23 15:00:00,0.010781
2023-06-24 15:00:00,0.009487
2023-06-25 23:00:00,0.01305
2023-06-29 23:00:00,0.012006
2023-07-03 15:00:00,0.013452
2023-07-20 15:00:00,0.008945
2023-07-25 23:00:00,0.005393
2023-08-10 15:00:00,0.016933
2023-08-13 15:00:00,0.009928
2023-09-05 23:00:00,0.006765
2023-09-09 07:00:00,0.003965
2023-09-09 23:00:00,0.003456
2023-09-14 15:00:00,0.006048
2023-09-17 23:00:00,0.003385
2023-10-04 23:00:00,0.005652
2023-10-15 15:00:00,0.007038
2023-11-01 11:00:00,0.014966
2023-11-05 15:00:00,0.017271
2023-11-19 15:00:00,0.008544
2023-11-29 15:00:00,0.010032
2023-12-22 15:00:00,0.062904
2023-12-27 23:00:00,0.03554
2023-12-28 03:00:00,0.034198
2024-01-12 23:00:00,0.036466
2024-01-25 15:00:00,0.010133
2024-01-29 15:00:00,0.011344
2024-02-06 15:00:00,0.014418
2024-02-11 15:00:00,0.016975
2024-02-19 15:00:00,0.02493
2024-02-20 15:00:00,0.019639
2024-02-24 23:00:00,0.018303
2024-03-19 15:00:00,0.034806
2024-03-21 21:00:00,0.014559
2024-03-27 20:00:00,0.044712
2024-04-02 15:00:00,0.013486
2024-04-06 15:00:00,0.008733
2023-04-22 00:00:00,0.007215
2023-04-27 00:00:00,0.002945
2023-04-30 20:00:00,0.003359
2023-05-04 08:00:00,0.004471
2023-05-11 16:00:00,-0.000818
2023-05-15 00:00:00,-0.003098
2023-05-17 00:00:00,0.004058
2023-05-19 16:00:00,0.003731
2023-05-23 16:00:00,0.008814
2023-05-28 00:00:00,0.002009
2023-05-29 08:00:00,0.009989
2023-06-02 00:00:00,0.00462
2023-06-03 08:00:00,0.00681
2023-06-05 00:00:00,0.008409
2023-06-09 03:00:00,0.006949
2023-06-12 08:00:00,0.004717
2023-06-13 16:00:00,0.010023
2023-06-20 08:00:00,0.008364
2023-06-22 08:00:00,0.011776
2023-06-23 16:00:00,0.00875
2023-06-24 16:00:00,0.006477
2023-06-26 00:00:00,0.011209
2023-06-30 00:00:00,0.0094
2023-07-03 16:00:00,0.010894
2023-07-20 16:00:00,0.005287
2023-07-26 00:00:00,0.00304
2023-08-10 16:00:00,0.011116
2023-08-13 16:00:00,0.00754
2023-09-06 00:00:00,0.000989
2023-09-09 08:00:00,0.002376
2023-09-10 00:00:00,0.002474
2023-09-14 16:00:00,-0.000838
2023-09-18 00:00:00,0.00101
2023-10-05 00:00:00,0.004207
2023-10-15 16:00:00,0.004472
2023-11-01 12:00:00,0.011927
2023-11-05 16:00:00,0.011189
2023-11-19 16:00:00,0.007871
2023-11-29 16:00:00,0.005462
2023-12-22 16:00:00,0.01972
2023-12-28 00:00:00,0.02913
2023-12-28 04:00:00,0.030904
2024-01-13 00:00:00,0.007349
2024-01-25 16:00:00,0.008279
2024-01-29 16:00:00,0.008899
2024-02-06 16:00:00,0.011297
2024-02-11 16:00:00,0.012559
2024-02-19 16:00:00,0.019122
2024-02-20 16:00:00,0.008871
2024-02-25 00:00:00,0.01356
2024-03-19 16:00:00,0.019366
2024-03-21 22:00:00,0.012027
2024-03-27 21:00:00,0.038323
2024-04-02 16:00:00,0.008407
2024-04-06 16:00:00,0.005153
