Bucket Type,Count,Local Extrema Closes,Local Extrema Type,First Local Extrema Datetime,Last Local Extrema Datetime
SS,6,[41613.4],['Min'],2023-12-30 08:00:00,2023-12-30 08:00:00
SS,6,[42272.6],['Min'],2024-01-01 05:00:00,2024-01-01 05:00:00
SS,3,[],[],,
SS,2,[],[],,
SS,4,[],[],,
SS,9,[47087.2],['Max'],2024-01-08 21:00:00,2024-01-08 21:00:00
SS,4,"[46038.0, 46698.4]","['Min', 'Max']",2024-01-11 16:00:00,2024-01-11 19:00:00
SS,5,[],[],,
SS,2,[],[],,
SS,3,[43065.8],['Max'],2024-01-14 09:00:00,2024-01-14 09:00:00
SS,2,[],[],,
SS,2,[],[],,
SS,16,[42918.3],['Max'],2024-01-18 07:00:00,2024-01-18 07:00:00
SS,7,[40847.4],['Min'],2024-01-18 20:00:00,2024-01-18 20:00:00
SS,1,[],[],,
SS,7,[],[],,
SS,2,[],[],,
SS,2,[],[],,
SS,4,[],[],,
SS,3,[],[],,
SS,2,[],[],,
SS,4,[42083.8],['Max'],2024-01-26 18:00:00,2024-01-26 18:00:00
SS,6,[41770.6],['Min'],2024-01-28 19:00:00,2024-01-28 19:00:00
SS,4,[],[],,
SS,1,[],[],,
SS,9,[43434.7],['Max'],2024-02-05 13:00:00,2024-02-05 13:00:00
SS,8,[],[],,
SS,10,[],[],,
SS,4,[],[],,
SS,9,[],[],,
SS,1,[],[],,
SS,8,[],[],,
SS,3,[],[],,
SS,4,[],[],,
SS,2,[],[],,
SS,2,[],[],,
SS,2,[],[],,
SS,5,[51978.9],['Max'],2024-02-22 09:00:00,2024-02-22 09:00:00
SS,16,[],[],,
SS,5,[],[],,
SS,6,[],[],,
SS,6,"[56428.8, 55774.3]","['Max', 'Min']",2024-02-27 02:00:00,2024-02-27 03:00:00
SS,8,"[62530.3, 60469.5]","['Max', 'Min']",2024-02-28 16:00:00,2024-02-28 20:00:00
SS,5,[],[],,
SS,9,[],[],,
SS,4,[],[],,
SS,1,[],[],,
SS,1,[],[],,
SS,1,[],[],,
SS,1,[],[],,
SS,1,[67685.8],['Min'],2024-03-08 15:00:00,2024-03-08 15:00:00
SS,12,[69902.5],['Max'],2024-03-10 09:00:00,2024-03-10 09:00:00
SS,7,[],[],,
SS,3,[],[],,
SS,2,[],[],,
SS,5,[],[],,
SS,2,[66574.4],['Max'],2024-03-17 03:00:00,2024-03-17 03:00:00
SS,3,[],[],,
SS,5,[],[],,
SS,1,[],[],,
SS,2,[65194.5],['Min'],2024-03-21 18:00:00,2024-03-21 18:00:00
SS,4,[],[],,
SS,7,[],[],,
SS,1,[],[],,
SS,3,[],[],,
SS,6,"[71019.6, 69904.6]","['Max', 'Min']",2024-03-25 19:00:00,2024-03-25 21:00:00
SS,1,[],[],,
SS,2,[70665.0],['Max'],2024-03-27 00:00:00,2024-03-27 00:00:00
SS,4,[],[],,
SS,6,[],[],,
SS,3,[71598.5],['Max'],2024-03-28 14:00:00,2024-03-28 14:00:00
SS,2,[],[],,
SS,8,[],[],,
SS,2,[],[],,
SS,3,[],[],,
SS,4,[],[],,
SS,1,[],[],,
SS,3,[],[],,
SS,7,[72472.6],['Max'],2024-04-08 11:00:00,2024-04-08 11:00:00
SS,4,[],[],,
SS,4,[],[],,
SS,4,[65928.3],['Min'],2024-04-13 01:00:00,2024-04-13 01:00:00
SS,3,[63085.1],['Min'],2024-04-14 02:00:00,2024-04-14 02:00:00
SS,1,[],[],,
SS,8,[],[],,
SS,2,[60165.9],['Min'],2024-04-17 16:00:00,2024-04-17 16:00:00
