Bucket Type,Count,Local Extrema Closes,Local Extrema Type,First Local Extrema Datetime,Last Local Extrema Datetime
SB,6,"[31197.5, 30964.0]","['Max', 'Min']",2023-10-23 16:00:00,2023-10-23 17:00:00
SB,1,[33777.6],['Min'],2023-10-26 16:00:00,2023-10-26 16:00:00
SB,2,[],[],,
SB,5,[],[],,
SB,4,[34191.7],['Min'],2023-10-30 07:00:00,2023-10-30 07:00:00
SB,6,[34151.9],['Min'],2023-10-31 07:00:00,2023-10-31 07:00:00
SB,6,[34998.2],['Max'],2023-11-02 19:00:00,2023-11-02 19:00:00
SB,4,[],[],,
SB,2,[],[],,
SB,4,[],[],,
SB,7,[],[],,
SB,1,[36270.3],['Min'],2023-11-14 00:00:00,2023-11-14 00:00:00
SB,3,[36572.0],['Max'],2023-11-17 01:00:00,2023-11-17 01:00:00
SB,4,"[37407.9, 37620.5]","['Min', 'Max']",2023-11-21 00:00:00,2023-11-21 01:00:00
SB,4,[36683.5],['Max'],2023-11-22 09:00:00,2023-11-22 09:00:00
SB,1,[],[],,
SB,6,[],[],,
SB,1,[],[],,
SB,1,[],[],,
SB,2,[],[],,
SB,3,[37075.1],['Max'],2023-11-27 16:00:00,2023-11-27 16:00:00
SB,8,[],[],,
SB,2,[],[],,
SB,3,"[41779.0, 42050.0]","['Min', 'Max']",2023-12-04 20:00:00,2023-12-04 21:00:00
SB,5,[],[],,
SB,3,[44127.0],['Max'],2023-12-06 10:00:00,2023-12-06 10:00:00
SB,4,[],[],,
SB,5,[],[],,
SB,7,[42386.2],['Max'],2023-12-11 09:00:00,2023-12-11 09:00:00
SB,2,[41291.8],['Max'],2023-12-13 08:00:00,2023-12-13 08:00:00
SB,3,[],[],,
SB,2,[41934.2],['Min'],2023-12-16 00:00:00,2023-12-16 00:00:00
SB,1,[],[],,
SB,5,[40845.9],['Min'],2023-12-18 10:00:00,2023-12-18 10:00:00
SB,5,[],[],,
SB,4,[],[],,
SB,1,[],[],,
SB,7,"[42538.5, 42264.4]","['Max', 'Min']",2023-12-26 23:00:00,2023-12-27 02:00:00
SB,5,[],[],,
SB,4,[],[],,
SB,9,[45362.7],['Max'],2024-01-03 06:00:00,2024-01-03 06:00:00
SB,4,[42267.6],['Min'],2024-01-03 18:00:00,2024-01-03 18:00:00
SB,5,[43374.5],['Min'],2024-01-05 01:00:00,2024-01-05 01:00:00
SB,3,[],[],,
SB,1,[],[],,
SB,4,[],[],,
SB,8,[43354.8],['Min'],2024-01-08 02:00:00,2024-01-08 02:00:00
SB,5,"[45317.9, 46544.2]","['Min', 'Max']",2024-01-10 16:00:00,2024-01-10 18:00:00
SB,2,[42515.0],['Min'],2024-01-15 23:00:00,2024-01-15 23:00:00
SB,7,"[43008.8, 43427.5]","['Min', 'Max']",2024-01-16 18:00:00,2024-01-16 21:00:00
SB,2,[],[],,
SB,1,[],[],,
SB,7,[],[],,
SB,2,[40186.0],['Max'],2024-01-24 16:00:00,2024-01-24 16:00:00
SB,2,[],[],,
SB,1,[],[],,
SB,3,[],[],,
