,lower_third_data.csv,middle_third_data.csv,upper_third_data.csv
count,1333.0,174.0,24.0
mean,0.007441011072768192,0.036068681379310345,0.0736553575
std,0.00553290178395674,0.009474980697532848,0.008740676047544332
min,-0.01657168,0.02275362,0.06224518
25%,0.0040311,0.028684045,0.0687787875
50%,0.00716813,0.03450003,0.072471625
75%,0.01045221,0.0428053625,0.07679873
max,0.02256284,0.05889208,0.10130251
