,lower_third_data.csv,middle_third_data.csv,upper_third_data.csv
count,58.0,829.0,55.0
mean,-0.017509204310344827,0.003389609758745477,0.03447723236363637
std,0.008598620010534557,0.005778621893017114,0.008267946222458994
min,-0.03907559,-0.00793999,0.02281653
25%,-0.02180748,-0.00059479,0.027773995
50%,-0.01415962,0.00277264,0.03393984
75%,-0.010779705,0.00697268,0.039096425000000004
max,-0.00834735,0.02258413,0.05353924
