,lower_third_data.csv,middle_third_data.csv,upper_third_data.csv
count,461.0,1288.0,52.0
mean,-0.0014092539045553146,0.009466214906832297,0.045322947115384614
std,0.0038303773782370236,0.005935813634883377,0.009774842496335277
min,-0.0285343,0.00243679,0.03350679
25%,-0.00245318,0.00572688,0.03621109
50%,-0.00073746,0.00808123,0.042319175
75%,0.00093853,0.010994555,0.053736599999999995
max,0.0023791,0.03318623,0.06437101
