,lower_third_data.csv,middle_third_data.csv,upper_third_data.csv
count,1624.0,104.0,11.0
mean,0.011000425172413793,0.051662133076923085,0.09559766545454546
std,0.007485344668649157,0.011917080024739565,0.01330180427290626
min,-0.00778364,0.03814508,0.08411441
25%,0.0060150275,0.0421670325,0.08696119499999999
50%,0.009558859999999999,0.0470707,0.09151431
75%,0.014251455,0.0608549325,0.09772562
max,0.03793058,0.08185521,0.12978156
