,lower_third_data.csv,middle_third_data.csv,upper_third_data.csv
count,1302.0,272.0,47.0
mean,0.005757589347158218,0.023951562610294116,0.06001594553191488
std,0.004544374313704518,0.008268696613946762,0.009214581797393737
min,-0.01756085,0.01386623,0.04534337
25%,0.0027534675,0.016828295,0.05280331
50%,0.0063189349999999995,0.021630345,0.06089419
75%,0.009074245,0.0298338225,0.065593875
max,0.01384681,0.0451547,0.07668164
