Bucket Type,Count,Local Extrema Closes,Local Extrema Type,First Local Extrema Datetime,Last Local Extrema Datetime
WB,4,[29678.0],['Min'],2023-07-20 18:00:00,2023-07-20 18:00:00
WB,4,[],[],,
WB,5,[],[],,
WB,4,[],[],,
WB,1,[],[],,
WB,8,[29121.0],['Min'],2023-07-26 01:00:00,2023-07-26 01:00:00
WB,5,[29562.2],['Max'],2023-07-26 20:00:00,2023-07-26 20:00:00
WB,2,[],[],,
WB,5,[],[],,
WB,1,[],[],,
WB,4,[],[],,
WB,6,[28983.7],['Max'],2023-08-01 08:00:00,2023-08-01 08:00:00
WB,1,[29014.2],['Min'],2023-08-02 16:00:00,2023-08-02 16:00:00
WB,1,[],[],,
WB,4,[],[],,
WB,5,[],[],,
WB,15,[],[],,
WB,4,[],[],,
WB,3,[],[],,
WB,2,[],[],,
WB,4,[],[],,
WB,3,[],[],,
WB,1,[],[],,
WB,3,[],[],,
WB,4,[],[],,
WB,1,[],[],,
WB,3,[],[],,
WB,2,[],[],,
WB,3,[],[],,
WB,4,[],[],,
WB,3,[26577.0],['Max'],2023-08-18 08:00:00,2023-08-18 08:00:00
WB,3,[],[],,
WB,3,[26240.1],['Max'],2023-08-19 16:00:00,2023-08-19 16:00:00
WB,3,"[26037.5, 26168.9]","['Min', 'Max']",2023-08-19 22:00:00,2023-08-20 00:00:00
WB,3,[26051.3],['Min'],2023-08-20 06:00:00,2023-08-20 06:00:00
WB,3,[26222.8],['Max'],2023-08-20 20:00:00,2023-08-20 20:00:00
WB,2,[26306.4],['Min'],2023-08-23 21:00:00,2023-08-23 21:00:00
WB,3,[],[],,
WB,1,[],[],,
WB,7,[],[],,
WB,1,[],[],,
WB,1,[],[],,
WB,1,[],[],,
WB,6,[26151.8],['Max'],2023-08-27 16:00:00,2023-08-27 16:00:00
WB,4,[],[],,
WB,1,[27700.1],['Max'],2023-08-29 23:00:00,2023-08-29 23:00:00
WB,2,[],[],,
WB,5,[],[],,
WB,2,[],[],,
WB,3,[25664.1],['Min'],2023-09-04 21:00:00,2023-09-04 21:00:00
WB,3,[25836.8],['Max'],2023-09-06 02:00:00,2023-09-06 02:00:00
WB,3,[],[],,
WB,1,[25619.4],['Min'],2023-09-06 18:00:00,2023-09-06 18:00:00
WB,2,[],[],,
WB,4,[],[],,
WB,3,[25899.8],['Max'],2023-09-08 23:00:00,2023-09-08 23:00:00
WB,7,[],[],,
WB,1,[],[],,
WB,1,[],[],,
WB,1,[],[],,
WB,2,[],[],,
WB,3,"[25210.0, 25008.3]","['Max', 'Min']",2023-09-11 17:00:00,2023-09-11 19:00:00
WB,3,[],[],,
WB,1,[],[],,
WB,1,[],[],,
WB,7,"[25891.2, 26090.0, 25825.8]","['Min', 'Max', 'Min']",2023-09-12 17:00:00,2023-09-12 23:00:00
WB,2,[],[],,
WB,2,[],[],,
WB,4,[],[],,
WB,12,"[26463.0, 26626.0]","['Min', 'Max']",2023-09-15 00:00:00,2023-09-15 04:00:00
WB,1,[],[],,
WB,2,[],[],,
WB,1,[],[],,
WB,5,[27278.6],['Max'],2023-09-19 09:00:00,2023-09-19 09:00:00
WB,1,[],[],,
WB,4,[27012.1],['Min'],2023-09-20 05:00:00,2023-09-20 05:00:00
WB,3,[],[],,
WB,1,[],[],,
WB,3,[],[],,
WB,7,[],[],,
WB,1,[],[],,
WB,1,[],[],,
WB,4,[26049.9],['Min'],2023-09-25 09:00:00,2023-09-25 09:00:00
WB,4,[],[],,
WB,1,[],[],,
WB,3,[27202.8],['Max'],2023-10-01 09:00:00,2023-10-01 09:00:00
WB,3,[28183.2],['Min'],2023-10-02 11:00:00,2023-10-02 11:00:00
WB,1,[],[],,
WB,5,[],[],,
WB,3,[27412.0],['Max'],2023-10-03 23:00:00,2023-10-03 23:00:00
WB,3,[],[],,
WB,3,[],[],,
WB,7,[27793.1],['Max'],2023-10-05 00:00:00,2023-10-05 00:00:00
WB,2,[],[],,
WB,4,[],[],,
WB,1,[27750.0],['Max'],2023-10-06 11:00:00,2023-10-06 11:00:00
WB,1,[],[],,
WB,4,[],[],,
WB,3,[],[],,
WB,1,[],[],,
WB,1,[],[],,
WB,4,[],[],,
WB,3,[27275.2],['Max'],2023-10-11 09:00:00,2023-10-11 09:00:00
WB,4,[26630.7],['Min'],2023-10-12 17:00:00,2023-10-12 17:00:00
WB,1,[],[],,
WB,2,[],[],,
WB,1,[],[],,
WB,1,[26813.9],['Min'],2023-10-13 22:00:00,2023-10-13 22:00:00
WB,1,[],[],,
WB,2,[],[],,
WB,1,[],[],,
WB,1,[],[],,
WB,3,[],[],,
WB,3,[27737.0],['Min'],2023-10-16 11:00:00,2023-10-16 11:00:00
WB,4,[28495.0],['Max'],2023-10-17 10:00:00,2023-10-17 10:00:00
WB,7,[28716.8],['Max'],2023-10-18 04:00:00,2023-10-18 04:00:00
WB,4,[],[],,
WB,3,[28665.6],['Max'],2023-10-19 14:00:00,2023-10-19 14:00:00
WB,2,[],[],,
WB,7,[],[],,
WB,1,[],[],,
WB,1,[33074.0],['Min'],2023-10-23 23:00:00,2023-10-23 23:00:00
WB,8,"[33674.0, 33940.0, 33659.2]","['Min', 'Max', 'Min']",2023-10-24 15:00:00,2023-10-24 20:00:00
WB,5,"[34003.6, 34194.3, 33853.4]","['Min', 'Max', 'Min']",2023-10-25 03:00:00,2023-10-25 07:00:00
WB,4,[34732.1],['Max'],2023-10-25 19:00:00,2023-10-25 19:00:00
WB,1,[],[],,
WB,3,[],[],,
WB,4,"[34242.4, 33954.0]","['Max', 'Min']",2023-10-27 06:00:00,2023-10-27 07:00:00
WB,1,[],[],,
WB,1,[],[],,
WB,3,[],[],,
WB,3,[],[],,
WB,6,"[34316.3, 34541.9]","['Min', 'Max']",2023-10-30 17:00:00,2023-10-30 21:00:00
WB,3,[],[],,
WB,4,"[34825.4, 34184.6]","['Max', 'Min']",2023-11-01 12:00:00,2023-11-01 14:00:00
WB,2,[],[],,
WB,1,[34759.5],['Max'],2023-11-03 15:00:00,2023-11-03 15:00:00
WB,1,[34982.7],['Min'],2023-11-05 00:00:00,2023-11-05 00:00:00
WB,2,[35083.9],['Max'],2023-11-05 17:00:00,2023-11-05 17:00:00
WB,1,[],[],,
WB,12,"[34633.3, 34830.0, 34682.8]","['Min', 'Max', 'Min']",2023-11-07 11:00:00,2023-11-07 16:00:00
WB,5,"[37202.1, 36977.4]","['Max', 'Min']",2023-11-10 12:00:00,2023-11-10 13:00:00
WB,3,[],[],,
WB,3,"[36912.7, 37162.1]","['Min', 'Max']",2023-11-11 22:00:00,2023-11-11 23:00:00
WB,2,[],[],,
WB,1,[],[],,
WB,6,[],[],,
WB,1,[37885.6],['Max'],2023-11-15 23:00:00,2023-11-15 23:00:00
WB,1,[],[],,
WB,4,"[36423.1, 36581.8]","['Min', 'Max']",2023-11-16 15:00:00,2023-11-16 16:00:00
WB,4,"[36638.8, 36459.1]","['Max', 'Min']",2023-11-19 09:00:00,2023-11-19 11:00:00
WB,7,[],[],,
WB,1,[],[],,
WB,7,[37198.0],['Max'],2023-11-21 16:00:00,2023-11-21 16:00:00
WB,4,[36402.1],['Min'],2023-11-22 14:00:00,2023-11-22 14:00:00
WB,1,[],[],,
WB,1,[],[],,
WB,1,[],[],,
WB,7,[37645.0],['Min'],2023-11-25 11:00:00,2023-11-25 11:00:00
WB,4,[],[],,
WB,4,[37212.1],['Min'],2023-11-26 16:00:00,2023-11-26 16:00:00
WB,12,"[37662.7, 38034.5]","['Min', 'Max']",2023-11-29 20:00:00,2023-11-30 03:00:00
WB,12,[],[],,
WB,3,[39519.0],['Min'],2023-12-03 17:00:00,2023-12-03 17:00:00
WB,2,[],[],,
WB,10,"[41910.0, 41534.2]","['Max', 'Min']",2023-12-05 05:00:00,2023-12-05 07:00:00
WB,2,[],[],,
WB,6,"[44008.8, 43756.1]","['Max', 'Min']",2023-12-06 19:00:00,2023-12-06 20:00:00
WB,3,[44572.0],['Max'],2023-12-08 21:00:00,2023-12-08 21:00:00
WB,7,[43734.3],['Min'],2023-12-09 23:00:00,2023-12-09 23:00:00
WB,5,[43995.8],['Max'],2023-12-10 07:00:00,2023-12-10 07:00:00
WB,5,"[42312.8, 42053.4]","['Max', 'Min']",2023-12-11 03:00:00,2023-12-11 05:00:00
WB,8,[40799.4],['Min'],2023-12-11 19:00:00,2023-12-11 19:00:00
WB,7,"[41606.7, 41875.0]","['Min', 'Max']",2023-12-12 11:00:00,2023-12-12 12:00:00
WB,16,"[43269.9, 42454.1, 43216.3, 42867.3, 43105.0]","['Max', 'Min', 'Max', 'Min', 'Max']",2023-12-14 11:00:00,2023-12-14 19:00:00
WB,3,[42255.2],['Max'],2023-12-15 21:00:00,2023-12-15 21:00:00
WB,5,"[40919.9, 41206.1, 41032.2]","['Min', 'Max', 'Min']",2023-12-18 02:00:00,2023-12-18 05:00:00
WB,1,[],[],,
WB,4,[42936.2],['Min'],2023-12-19 06:00:00,2023-12-19 06:00:00
WB,6,"[42549.3, 42298.3]","['Max', 'Min']",2023-12-19 21:00:00,2023-12-19 23:00:00
WB,8,"[43725.9, 44176.0, 43481.7, 43708.9]","['Min', 'Max', 'Min', 'Max']",2023-12-20 16:00:00,2023-12-20 23:00:00
WB,4,[],[],,
WB,1,[43587.1],['Min'],2023-12-22 16:00:00,2023-12-22 16:00:00
WB,3,[43666.4],['Min'],2023-12-22 19:00:00,2023-12-22 19:00:00
WB,3,[],[],,
WB,7,[],[],,
WB,2,[43891.0],['Max'],2023-12-24 02:00:00,2023-12-24 02:00:00
WB,11,[42946.9],['Min'],2023-12-25 00:00:00,2023-12-25 00:00:00
WB,1,[],[],,
WB,3,[42940.0],['Min'],2023-12-27 14:00:00,2023-12-27 14:00:00
WB,2,[43600.0],['Max'],2023-12-28 00:00:00,2023-12-28 00:00:00
WB,1,[],[],,
WB,2,[],[],,
WB,2,[41794.8],['Min'],2023-12-29 22:00:00,2023-12-29 22:00:00
WB,2,[42148.2],['Max'],2023-12-30 05:00:00,2023-12-30 05:00:00
WB,8,"[42395.1, 42119.6]","['Max', 'Min']",2023-12-31 00:00:00,2023-12-31 02:00:00
WB,1,[],[],,
WB,2,[],[],,
WB,1,[45816.8],['Max'],2024-01-02 08:00:00,2024-01-02 08:00:00
WB,1,[],[],,
WB,1,[],[],,
WB,2,[],[],,
WB,1,[],[],,
WB,4,[44145.4],['Max'],2024-01-05 23:00:00,2024-01-05 23:00:00
WB,9,[],[],,
WB,1,[],[],,
WB,4,"[45102.9, 44787.5]","['Max', 'Min']",2024-01-08 12:00:00,2024-01-08 14:00:00
