datetime,sigai_output,rolling_mean,std,0.7std,1.5std,3std,upper_0.7std,lower_0.7std,upper_1.5std,lower_1.5std,upper_3std,lower_3std,SB,MB,WB,A,WS,MS,SS
2023-12-01 00:00:00,0.00759012,0.006776157083333332,0.0015403520869836154,0.0010782464608885308,0.002310528130475423,0.004621056260950846,0.007854403544221863,0.005697910622444801,0.009086685213808756,0.004465628952857909,0.011397213344284177,0.002155100822382486,0,0,0,0,1,0,0
2023-12-01 01:00:00,0.00765665,0.006848136666666665,0.0015394130598035706,0.0010775891418624993,0.002309119589705356,0.004618239179410712,0.007925725808529164,0.005770547524804165,0.00915725625637202,0.004539017076961309,0.011466375846077376,0.0022298974872559532,0,0,0,0,1,0,0
2023-12-01 02:00:00,0.00779138,0.006926504583333332,0.0015374805983875818,0.0010762364188713072,0.002306220897581373,0.004612441795162746,0.00800274100220464,0.005850268164462025,0.009232725480914705,0.00462028368575196,0.011538946378496078,0.0023140627881705865,0,0,0,0,1,0,0
2023-12-01 03:00:00,0.00801968,0.007015538333333331,0.0015362869229348809,0.0010754008460544164,0.0023044303844023213,0.0046088607688046426,0.008090939179387748,0.005940137487278915,0.009319968717735654,0.00471110794893101,0.011624399102137974,0.002406677564528689,0,0,0,0,1,0,0
2023-12-01 04:00:00,0.00922318,0.007101986249999998,0.0016010967224752883,0.0011207677057327018,0.0024016450837129324,0.004803290167425865,0.0082227539557327,0.005981218544267296,0.00950363133371293,0.004700341166287066,0.011905276417425864,0.0022986960825741335,0,0,0,0,0,1,0
2023-12-01 05:00:00,0.00955071,0.007197991666666666,0.0016774058404099969,0.0011741840882869977,0.0025161087606149954,0.005032217521229991,0.008372175754953665,0.006023807578379669,0.009714100427281661,0.004681882906051671,0.012230209187896657,0.0021657741454366754,0,0,0,0,0,1,0
2023-12-01 06:00:00,0.00967701,0.007296735416666665,0.0017521971849679158,0.001226538029477541,0.002628295777451874,0.005256591554903748,0.008523273446144206,0.006070197387189124,0.009925031194118538,0.004668439639214791,0.012553326971570413,0.0020401438617629174,0,0,0,0,0,1,0
2023-12-01 07:00:00,0.01026878,0.007415676249999999,0.0018544213837789723,0.0012980949686452806,0.0027816320756684585,0.005563264151336917,0.00871377121864528,0.006117581281354719,0.010197308325668458,0.004634044174331541,0.012978940401336916,0.0018524120986630824,0,0,0,0,0,0,1
2023-12-01 08:00:00,0.01457071,0.0076494962499999986,0.0023460851158304194,0.0016422595810812934,0.003519127673745629,0.007038255347491258,0.009291755831081293,0.006007236668918705,0.011168623923745628,0.0041303685762543695,0.014687751597491257,0.0006112409025087404,0,0,0,0,0,0,1
2023-12-01 09:00:00,0.01546836,0.007920628333333332,0.0028303052594249303,0.001981213681597451,0.004245457889137395,0.00849091577827479,0.009901842014930783,0.005939414651735881,0.012166086222470727,0.003675170444195937,0.016411544111608122,-0.0005702874449414579,0,0,0,0,0,0,1
2023-12-01 10:00:00,0.01636337,0.008228882916666664,0.003311065578058672,0.0023177459046410703,0.004966598367088008,0.009933196734176015,0.010546628821307734,0.005911137012025594,0.013195481283754671,0.0032622845495786567,0.01816207965084268,-0.0017043138175093508,0,0,0,0,0,0,1
2023-12-01 11:00:00,0.01686144,0.008558763333333332,0.003750652527418753,0.0026254567691931267,0.005625978791128129,0.011251957582256259,0.011184220102526458,0.005933306564140205,0.014184742124461462,0.0029327845422052025,0.01981072091558959,-0.002693194248922927,0,0,0,0,0,0,1
2023-12-01 12:00:00,0.01979352,0.00904237,0.004393763270722326,0.003075634289505628,0.006590644906083489,0.013181289812166978,0.012118004289505628,0.005966735710494371,0.015633014906083487,0.00245172509391651,0.02222365981216698,-0.004138919812166979,0,0,0,0,0,0,1
2023-12-01 13:00:00,0.01985008,0.009530563749999998,0.0049090821281445865,0.0034363574897012103,0.007363623192216879,0.014727246384433759,0.01296692123970121,0.006094206260298788,0.01689418694221688,0.002166940557783119,0.024257810134433757,-0.00519668263443376,0,0,0,0,0,0,1
2023-12-01 14:00:00,0.01987199,0.010023363749999998,0.005329116648914534,0.003730381654240174,0.0079936749733718,0.0159873499467436,0.013753745404240172,0.0062929820957598245,0.0180170387233718,0.0020296887766281975,0.026010713696743598,-0.005963986196743603,0,0,0,0,0,0,1
2023-12-01 15:00:00,0.01932301,0.010499709166666664,0.005632505311737185,0.003942753718216029,0.008448757967605778,0.016897515935211556,0.014442462884882695,0.006556955448450635,0.018948467134272444,0.0020509511990608863,0.02739722510187822,-0.006397806768544892,0,0,0,0,0,0,1
