datetime,average,trend,duration,next-signal,variance
5/7/2023 10:00,-0.000613833,0.000721229,6,WS,2.94e-06
5/28/2023 10:00,0.0084045,0.000370029,6,WS,4.66e-07
6/22/2023 2:00,0.021928667,-0.000144286,6,WB,1.66e-07
7/21/2023 22:00,0.005220167,-0.000426257,6,WS,9.56e-07
8/7/2023 0:00,0.017796833,6.93e-05,6,WS,1.49e-07
8/7/2023 18:00,0.018214667,6.44e-05,6,SB,1.6e-08
8/30/2023 10:00,0.007654,-9.03e-05,6,WS,3e-08
9/26/2023 16:00,0.0064775,0.000190086,6,SS,1.48e-07
9/27/2023 3:00,0.008909,7.68e-05,6,SS,8.3e-08
10/29/2023 2:00,0.0207395,6.15e-05,6,WS,1.16e-07
11/16/2023 1:00,0.014045,0.0001584,6,WS,1.25e-07
11/20/2023 10:00,0.0118215,-8.31e-05,6,MB,2.34e-08
12/26/2023 6:00,0.045927,3.12e-05,6,WS,6.4e-07
1/1/2024 6:00,0.043418667,-0.000183143,6,WS,2.17e-07
1/26/2024 2:00,0.010826333,1.98e-05,6,MB,2.65e-08
2/1/2024 18:00,0.0090155,0.000369229,6,WS,5.3e-07
2/8/2024 18:00,0.014937833,0.000137457,6,SB,2.08e-07
2/9/2024 8:00,0.015868833,-3.19e-05,6,WS,1.95e-07
4/4/2024 9:00,0.009323,0.000155657,6,WS,1.27e-07
