datetime,average,trend,duration,next-signal,variance
5/4/2023 8:00,0.005974375,0.000162702,8,WS,4.64e-07
5/15/2023 0:00,-0.003720375,-0.000377702,8,MS,9.31e-07
5/17/2023 0:00,0.003583375,-0.000235464,8,WS,3.59e-07
5/19/2023 16:00,0.0038805,6.19e-07,8,MB,9.63e-09
5/29/2023 20:00,0.00941075,0.000146143,8,WS,1.57e-07
6/2/2023 0:00,0.004978625,9.46e-05,8,SS,6.69e-08
7/1/2023 8:00,0.0091465,-4.85e-05,8,WS,2.57e-08
7/26/2023 0:00,0.003040875,-2.35e-05,8,MS,5.88e-09
10/24/2023 14:00,0.011427,-2.19e-05,8,MB,6.47e-08
12/11/2023 16:00,0.01786325,-0.000278548,8,MB,1.02e-06
12/20/2023 16:00,0.0164625,0.00018519,8,WS,3.92e-07
12/31/2023 0:00,0.0347705,0.000396857,8,WS,1.19e-06
1/25/2024 16:00,0.0084425,2.12e-05,8,SS,1.32e-08
1/29/2024 16:00,0.008898625,5.63e-05,8,WS,8.38e-08
2/6/2024 16:00,0.010628625,-0.000199274,8,MB,2.12e-07
2/10/2024 0:00,0.004936,0.000190786,8,WS,2.07e-07
2/12/2024 0:00,0.012619875,0.000141893,8,WS,1.24e-07
2/21/2024 16:00,0.008366375,0.000145179,8,MS,6.65e-07
