datetime,average,trend,duration,next-signal,variance
5/1/2023 16:00,0.004445143,5.4e-05,7,WB,7.54e-08
5/5/2023 16:00,0.005024714,-0.000152464,7,MS,1.28e-07
5/17/2023 8:00,0.006032571,0.000410571,7,WB,8.2e-07
8/10/2023 0:00,0.011688,4.81e-05,7,MS,5.9e-08
9/1/2023 8:00,0.000223,0.000272536,7,MS,1.17e-06
9/26/2023 4:00,0.003826714,0.000153071,7,MS,1.34e-07
10/31/2023 17:00,0.011122286,-0.000163321,7,SS,1.39e-07
11/21/2023 9:00,0.008994429,-1.08e-05,7,WB,6.08e-10
11/28/2023 9:00,0.007422571,-7.25e-05,7,MS,3.19e-08
11/28/2023 17:00,0.008495143,4.69e-05,7,SB,1.6e-08
2/6/2024 8:00,0.014183571,0.000129714,7,MS,8.67e-08
3/18/2024 10:00,0.022487,-0.000455536,7,WB,1.3e-06
4/5/2024 9:00,0.006695143,-0.000104214,7,MB,7.74e-08
