datetime,average,trend,duration,next-signal,variance
6/12/2023 0:00,0.0076774,2.08e-05,5,MS,5.99e-09
6/15/2023 9:00,0.0145504,0.0007638,5,MS,2.55e-06
6/21/2023 8:00,0.0202566,-0.0004098,5,MS,3.48e-07
9/15/2023 15:00,0.0062026,0.0006497,5,WS,3.55e-06
10/14/2023 8:00,0.0115302,7.3e-05,5,MS,2.68e-08
10/16/2023 14:00,0.008495,0.0005891,5,MS,1.1e-06
10/25/2023 11:00,0.0147732,0.0004621,5,WS,4.71e-07
11/5/2023 8:00,0.0185564,-0.0002996,5,MS,1.91e-07
11/23/2023 8:00,0.0135124,0.0002704,5,MS,1.55e-07
12/10/2023 14:00,0.0266122,0.0011706,5,MS,4.94e-06
12/16/2023 8:00,0.0231442,8.01e-05,5,MS,4e-08
1/12/2024 16:00,0.0464252,-0.0015922,5,MS,1.01e-05
2/22/2024 8:00,0.0290996,0.0012503,5,MS,6.69e-06
2/25/2024 8:00,0.0244858,0.0004547,5,MS,8.85e-07
3/2/2024 16:00,0.0453808,0.0009609,5,MS,1.88e-06
3/16/2024 19:00,0.029193,0.0005725,5,MS,1.03e-06
3/19/2024 9:00,0.0447816,0.0003656,5,MS,1.19e-05
