Bucket,Dates,Values,Signal,Count,Local Extrema,Sell\Buy,Sell Local Min Count,Sell Local Max Count,Buy Local Min Count,Buy Local Max Count
137,"[Timestamp('2023-06-20 00:00:00'), Timestamp('2023-06-20 01:00:00'), Timestamp('2023-06-20 02:00:00'), Timestamp('2023-06-20 03:00:00'), Timestamp('2023-06-20 04:00:00'), Timestamp('2023-06-20 05:00:00'), Timestamp('2023-06-20 06:00:00'), Timestamp('2023-06-20 07:00:00')]","[0.010124, 0.010785, 0.011306, 0.011789, 0.011959, 0.011825, 0.011504, 0.011085]","['MS', 'MS', 'SS', 'SS', 'SS', 'SS', 'MS', 'MS']",8,['local_max'],Sell,0,1,0,0
138,"[Timestamp('2023-06-20 08:00:00'), Timestamp('2023-06-20 09:00:00'), Timestamp('2023-06-20 10:00:00'), Timestamp('2023-06-20 11:00:00'), Timestamp('2023-06-20 12:00:00'), Timestamp('2023-06-20 13:00:00'), Timestamp('2023-06-20 14:00:00'), Timestamp('2023-06-20 15:00:00'), Timestamp('2023-06-20 16:00:00'), Timestamp('2023-06-20 17:00:00')]","[0.008364, 0.008391, 0.008104, 0.007562, 0.007286, 0.007027, 0.00688, 0.006601, 0.002939, 0.004351]","['WB', 'WB', 'WB', 'WB', 'MB', 'MB', 'MB', 'MB', 'SB', 'SB']",10,['local_min'],Buy,0,0,1,0
139,"[Timestamp('2023-06-20 18:00:00'), Timestamp('2023-06-20 19:00:00')]","[0.008577, 0.00985]","['WS', 'WS']",2,[],Sell,0,0,0,0
140,"[Timestamp('2023-06-20 20:00:00'), Timestamp('2023-06-20 21:00:00')]","[0.007772, 0.00781]","['WB', 'WB']",2,[],Buy,0,0,0,0
141,"[Timestamp('2023-06-20 22:00:00'), Timestamp('2023-06-20 23:00:00')]","[0.008919, 0.009902]","['WS', 'WS']",2,[],Sell,0,0,0,0
142,"[Timestamp('2023-06-21 00:00:00'), Timestamp('2023-06-21 01:00:00'), Timestamp('2023-06-21 02:00:00'), Timestamp('2023-06-21 03:00:00')]","[0.004487, 0.005219, 0.00547, 0.005506]","['SB', 'MB', 'MB', 'MB']",4,[],Buy,0,0,0,0
143,"[Timestamp('2023-06-21 04:00:00'), Timestamp('2023-06-21 05:00:00'), Timestamp('2023-06-21 06:00:00'), Timestamp('2023-06-21 07:00:00'), Timestamp('2023-06-21 08:00:00'), Timestamp('2023-06-21 09:00:00'), Timestamp('2023-06-21 10:00:00'), Timestamp('2023-06-21 11:00:00'), Timestamp('2023-06-21 12:00:00'), Timestamp('2023-06-21 13:00:00'), Timestamp('2023-06-21 14:00:00'), Timestamp('2023-06-21 15:00:00')]","[0.008061, 0.00916, 0.009702, 0.00986, 0.020968, 0.020848, 0.020257, 0.019734, 0.019476, 0.017798, 0.016349, 0.015738]","['WS', 'MS', 'MS', 'MS', 'SS', 'SS', 'SS', 'SS', 'SS', 'MS', 'MS', 'MS']",12,"['local_max', 'local_min']",Sell,1,1,0,0
144,"[Timestamp('2023-06-21 16:00:00'), Timestamp('2023-06-21 17:00:00'), Timestamp('2023-06-21 18:00:00'), Timestamp('2023-06-21 19:00:00'), Timestamp('2023-06-21 20:00:00'), Timestamp('2023-06-21 21:00:00'), Timestamp('2023-06-21 22:00:00'), Timestamp('2023-06-21 23:00:00')]","[0.005136, 0.006146, 0.006547, 0.006811, 0.006973, 0.007761, 0.008413, 0.008831]","['MB', 'MB', 'MB', 'MB', 'MB', 'WB', 'WB', 'WB']",8,"['local_max', 'local_min']",Buy,0,0,1,1
145,"[Timestamp('2023-06-22 00:00:00'), Timestamp('2023-06-22 01:00:00'), Timestamp('2023-06-22 02:00:00'), Timestamp('2023-06-22 03:00:00'), Timestamp('2023-06-22 04:00:00'), Timestamp('2023-06-22 05:00:00'), Timestamp('2023-06-22 06:00:00'), Timestamp('2023-06-22 07:00:00')]","[0.022531, 0.022228, 0.021879, 0.022146, 0.022578, 0.022071, 0.0216, 0.021298]","['SS', 'SS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS']",8,['local_max'],Sell,0,1,0,0
146,"[Timestamp('2023-06-22 08:00:00'), Timestamp('2023-06-22 09:00:00'), Timestamp('2023-06-22 10:00:00'), Timestamp('2023-06-22 11:00:00'), Timestamp('2023-06-22 12:00:00'), Timestamp('2023-06-22 13:00:00'), Timestamp('2023-06-22 14:00:00'), Timestamp('2023-06-22 15:00:00'), Timestamp('2023-06-22 16:00:00'), Timestamp('2023-06-22 17:00:00'), Timestamp('2023-06-22 18:00:00'), Timestamp('2023-06-22 19:00:00'), Timestamp('2023-06-22 20:00:00'), Timestamp('2023-06-22 21:00:00'), Timestamp('2023-06-22 22:00:00'), Timestamp('2023-06-22 23:00:00'), Timestamp('2023-06-23 00:00:00'), Timestamp('2023-06-23 01:00:00'), Timestamp('2023-06-23 02:00:00'), Timestamp('2023-06-23 03:00:00'), Timestamp('2023-06-23 04:00:00'), Timestamp('2023-06-23 05:00:00'), Timestamp('2023-06-23 06:00:00')]","[0.011776, 0.011025, 0.010449, 0.009335, 0.008172, 0.007707, 0.007399, 0.007436, 0.007573, 0.007553, 0.007752, 0.00777, 0.007814, 0.007838, 0.007838, 0.007856, 0.006672, 0.006876, 0.00708, 0.007414, 0.007603, 0.00778, 0.008275]","['WB', 'WB', 'WB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'WB', 'WB', 'WB', 'WB', 'WB']",23,"['local_min', 'local_max', 'local_min', 'local_max', 'local_min']",Buy,0,0,3,2
147,"[Timestamp('2023-06-23 07:00:00'), Timestamp('2023-06-23 08:00:00'), Timestamp('2023-06-23 09:00:00'), Timestamp('2023-06-23 10:00:00'), Timestamp('2023-06-23 11:00:00'), Timestamp('2023-06-23 12:00:00'), Timestamp('2023-06-23 13:00:00'), Timestamp('2023-06-23 14:00:00'), Timestamp('2023-06-23 15:00:00')]","[0.008418, 0.010838, 0.011535, 0.01169, 0.011626, 0.011425, 0.011236, 0.010531, 0.010781]","['WS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'MS', 'MS']",9,['local_max'],Sell,0,1,0,0
148,"[Timestamp('2023-06-23 16:00:00'), Timestamp('2023-06-23 17:00:00'), Timestamp('2023-06-23 18:00:00'), Timestamp('2023-06-23 19:00:00'), Timestamp('2023-06-23 20:00:00'), Timestamp('2023-06-23 21:00:00'), Timestamp('2023-06-23 22:00:00'), Timestamp('2023-06-23 23:00:00'), Timestamp('2023-06-24 00:00:00'), Timestamp('2023-06-24 01:00:00'), Timestamp('2023-06-24 02:00:00'), Timestamp('2023-06-24 03:00:00'), Timestamp('2023-06-24 04:00:00'), Timestamp('2023-06-24 05:00:00'), Timestamp('2023-06-24 06:00:00'), Timestamp('2023-06-24 07:00:00')]","[0.00875, 0.008771, 0.008407, 0.008199, 0.007386, 0.007391, 0.006851, 0.006088, 0.000656, 0.002621, 0.003412, 0.00338, 0.003425, 0.00344, 0.003443, 0.003487]","['WB', 'WB', 'WB', 'WB', 'MB', 'MB', 'MB', 'MB', 'SB', 'SB', 'SB', 'SB', 'MB', 'MB', 'MB', 'MB']",16,"['local_min', 'local_max', 'local_min']",Buy,0,0,2,1
149,"[Timestamp('2023-06-24 08:00:00'), Timestamp('2023-06-24 09:00:00'), Timestamp('2023-06-24 10:00:00'), Timestamp('2023-06-24 11:00:00'), Timestamp('2023-06-24 12:00:00'), Timestamp('2023-06-24 13:00:00'), Timestamp('2023-06-24 14:00:00'), Timestamp('2023-06-24 15:00:00')]","[0.008547, 0.008695, 0.008729, 0.008729, 0.009469, 0.009399, 0.009412, 0.009487]","['WS', 'WS', 'WS', 'WS', 'MS', 'MS', 'MS', 'MS']",8,"['local_max', 'local_min']",Sell,1,1,0,0
150,"[Timestamp('2023-06-24 16:00:00'), Timestamp('2023-06-24 17:00:00')]","[0.006477, 0.006353]","['WB', 'WB']",2,[],Buy,0,0,0,0
151,"[Timestamp('2023-06-24 18:00:00'), Timestamp('2023-06-24 19:00:00')]","[0.006343, 0.006319]","['WS', 'WS']",2,[],Sell,0,0,0,0
152,"[Timestamp('2023-06-24 20:00:00'), Timestamp('2023-06-24 21:00:00')]","[0.005754, 0.005854]","['WB', 'WB']",2,[],Buy,0,0,0,0
153,"[Timestamp('2023-06-24 22:00:00'), Timestamp('2023-06-24 23:00:00'), Timestamp('2023-06-25 00:00:00'), Timestamp('2023-06-25 01:00:00'), Timestamp('2023-06-25 02:00:00'), Timestamp('2023-06-25 03:00:00'), Timestamp('2023-06-25 04:00:00'), Timestamp('2023-06-25 05:00:00'), Timestamp('2023-06-25 06:00:00'), Timestamp('2023-06-25 07:00:00'), Timestamp('2023-06-25 08:00:00'), Timestamp('2023-06-25 09:00:00'), Timestamp('2023-06-25 10:00:00'), Timestamp('2023-06-25 11:00:00'), Timestamp('2023-06-25 12:00:00'), Timestamp('2023-06-25 13:00:00'), Timestamp('2023-06-25 14:00:00'), Timestamp('2023-06-25 15:00:00'), Timestamp('2023-06-25 16:00:00'), Timestamp('2023-06-25 17:00:00'), Timestamp('2023-06-25 18:00:00'), Timestamp('2023-06-25 19:00:00'), Timestamp('2023-06-25 20:00:00'), Timestamp('2023-06-25 21:00:00'), Timestamp('2023-06-25 22:00:00'), Timestamp('2023-06-25 23:00:00')]","[0.006129, 0.006479, 0.010352, 0.010423, 0.010461, 0.010599, 0.011433, 0.011612, 0.011542, 0.011263, 0.009696, 0.010047, 0.010472, 0.010751, 0.011126, 0.011436, 0.011623, 0.011779, 0.012741, 0.012915, 0.013029, 0.013224, 0.013238, 0.013186, 0.013114, 0.01305]","['WS', 'WS', 'SS', 'MS', 'MS', 'MS', 'SS', 'SS', 'MS', 'MS', 'WS', 'WS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS']",26,['local_max'],Sell,0,1,0,0
154,"[Timestamp('2023-06-26 00:00:00'), Timestamp('2023-06-26 01:00:00'), Timestamp('2023-06-26 02:00:00'), Timestamp('2023-06-26 03:00:00'), Timestamp('2023-06-26 04:00:00'), Timestamp('2023-06-26 05:00:00'), Timestamp('2023-06-26 06:00:00'), Timestamp('2023-06-26 07:00:00')]","[0.011209, 0.009948, 0.009275, 0.010257, 0.01005, 0.009727, 0.010386, 0.010768]","['WB', 'MB', 'SB', 'MB', 'MB', 'MB', 'MB', 'WB']",8,"['local_min', 'local_max']",Buy,0,0,1,1
155,"[Timestamp('2023-06-26 08:00:00'), Timestamp('2023-06-26 09:00:00'), Timestamp('2023-06-26 10:00:00')]","[0.012055, 0.012251, 0.012037]","['WS', 'WS', 'WS']",3,['local_min'],Sell,1,0,0,0
156,"[Timestamp('2023-06-26 11:00:00'), Timestamp('2023-06-26 12:00:00'), Timestamp('2023-06-26 13:00:00'), Timestamp('2023-06-26 14:00:00'), Timestamp('2023-06-26 15:00:00'), Timestamp('2023-06-26 16:00:00'), Timestamp('2023-06-26 17:00:00'), Timestamp('2023-06-26 18:00:00'), Timestamp('2023-06-26 19:00:00'), Timestamp('2023-06-26 20:00:00'), Timestamp('2023-06-26 21:00:00'), Timestamp('2023-06-26 22:00:00'), Timestamp('2023-06-26 23:00:00'), Timestamp('2023-06-27 00:00:00'), Timestamp('2023-06-27 01:00:00'), Timestamp('2023-06-27 02:00:00'), Timestamp('2023-06-27 03:00:00'), Timestamp('2023-06-27 04:00:00'), Timestamp('2023-06-27 05:00:00'), Timestamp('2023-06-27 06:00:00'), Timestamp('2023-06-27 07:00:00')]","[0.011343, 0.010636, 0.010189, 0.009524, 0.009239, 0.00684, 0.006594, 0.006638, 0.006731, 0.006415, 0.006419, 0.006425, 0.006428, 0.003432, 0.004164, 0.004301, 0.004827, 0.00381, 0.004037, 0.00444, 0.005087]","['WB', 'MB', 'MB', 'MB', 'MB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'MB', 'MB', 'SB', 'SB', 'SB', 'MB', 'MB', 'MB', 'MB', 'MB']",21,"['local_max', 'local_min', 'local_max', 'local_min']",Buy,0,0,2,2
157,"[Timestamp('2023-06-27 08:00:00'), Timestamp('2023-06-27 09:00:00'), Timestamp('2023-06-27 10:00:00'), Timestamp('2023-06-27 11:00:00'), Timestamp('2023-06-27 12:00:00'), Timestamp('2023-06-27 13:00:00'), Timestamp('2023-06-27 14:00:00'), Timestamp('2023-06-27 15:00:00')]","[0.010268, 0.009912, 0.009942, 0.009857, 0.011577, 0.011565, 0.011639, 0.011658]","['MS', 'MS', 'MS', 'MS', 'SS', 'SS', 'SS', 'SS']",8,"['local_max', 'local_min']",Sell,1,1,0,0
158,"[Timestamp('2023-06-27 16:00:00'), Timestamp('2023-06-27 17:00:00'), Timestamp('2023-06-27 18:00:00'), Timestamp('2023-06-27 19:00:00'), Timestamp('2023-06-27 20:00:00'), Timestamp('2023-06-27 21:00:00'), Timestamp('2023-06-27 22:00:00'), Timestamp('2023-06-27 23:00:00'), Timestamp('2023-06-28 00:00:00'), Timestamp('2023-06-28 01:00:00'), Timestamp('2023-06-28 02:00:00'), Timestamp('2023-06-28 03:00:00'), Timestamp('2023-06-28 04:00:00'), Timestamp('2023-06-28 05:00:00'), Timestamp('2023-06-28 06:00:00'), Timestamp('2023-06-28 07:00:00')]","[0.00568, 0.007094, 0.00685, 0.005505, 0.000853, 0.000821, 0.002009, 0.002538, 0.000347, 0.000307, 0.000336, 0.000413, 0.002693, 0.002835, 0.002859, 0.00272]","['WB', 'WB', 'WB', 'WB', 'SB', 'SB', 'MB', 'MB', 'SB', 'MB', 'MB', 'MB', 'WB', 'WB', 'WB', 'WB']",16,['local_max'],Buy,0,0,0,1
159,"[Timestamp('2023-06-28 08:00:00'), Timestamp('2023-06-28 09:00:00'), Timestamp('2023-06-28 10:00:00'), Timestamp('2023-06-28 11:00:00'), Timestamp('2023-06-28 12:00:00'), Timestamp('2023-06-28 13:00:00'), Timestamp('2023-06-28 14:00:00'), Timestamp('2023-06-28 15:00:00'), Timestamp('2023-06-28 16:00:00'), Timestamp('2023-06-28 17:00:00'), Timestamp('2023-06-28 18:00:00'), Timestamp('2023-06-28 19:00:00'), Timestamp('2023-06-28 20:00:00'), Timestamp('2023-06-28 21:00:00'), Timestamp('2023-06-28 22:00:00'), Timestamp('2023-06-28 23:00:00'), Timestamp('2023-06-29 00:00:00'), Timestamp('2023-06-29 01:00:00'), Timestamp('2023-06-29 02:00:00'), Timestamp('2023-06-29 03:00:00')]","[0.007244, 0.007175, 0.006941, 0.006503, 0.006939, 0.006901, 0.006803, 0.006692, 0.006988, 0.006988, 0.007093, 0.007451, 0.007141, 0.007142, 0.007343, 0.007468, 0.007008, 0.007256, 0.007094, 0.006899]","['WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'WS', 'WS', 'WS', 'WS']",20,"['local_min', 'local_max', 'local_min']",Sell,2,1,0,0
160,"[Timestamp('2023-06-29 04:00:00'), Timestamp('2023-06-29 05:00:00'), Timestamp('2023-06-29 06:00:00'), Timestamp('2023-06-29 07:00:00')]","[0.005314, 0.005366, 0.005547, 0.005969]","['MB', 'MB', 'MB', 'MB']",4,[],Buy,0,0,0,0
161,"[Timestamp('2023-06-29 08:00:00'), Timestamp('2023-06-29 09:00:00'), Timestamp('2023-06-29 10:00:00'), Timestamp('2023-06-29 11:00:00'), Timestamp('2023-06-29 12:00:00'), Timestamp('2023-06-29 13:00:00'), Timestamp('2023-06-29 14:00:00'), Timestamp('2023-06-29 15:00:00'), Timestamp('2023-06-29 16:00:00'), Timestamp('2023-06-29 17:00:00'), Timestamp('2023-06-29 18:00:00'), Timestamp('2023-06-29 19:00:00'), Timestamp('2023-06-29 20:00:00'), Timestamp('2023-06-29 21:00:00'), Timestamp('2023-06-29 22:00:00'), Timestamp('2023-06-29 23:00:00')]","[0.00833, 0.008558, 0.009077, 0.009869, 0.012121, 0.012499, 0.01266, 0.012447, 0.012709, 0.012975, 0.012987, 0.012916, 0.01278, 0.01258, 0.012319, 0.012006]","['SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'MS', 'MS', 'MS', 'MS', 'MS']",16,['local_max'],Sell,0,1,0,0
162,"[Timestamp('2023-06-30 00:00:00'), Timestamp('2023-06-30 01:00:00'), Timestamp('2023-06-30 02:00:00'), Timestamp('2023-06-30 03:00:00'), Timestamp('2023-06-30 04:00:00'), Timestamp('2023-06-30 05:00:00'), Timestamp('2023-06-30 06:00:00')]","[0.0094, 0.009003, 0.008538, 0.007942, 0.00814, 0.00956, 0.010617]","['WB', 'WB', 'WB', 'MB', 'MB', 'WB', 'WB']",7,"['local_min', 'local_max', 'local_min']",Buy,0,0,2,1
163,"[Timestamp('2023-06-30 07:00:00'), Timestamp('2023-06-30 08:00:00'), Timestamp('2023-06-30 09:00:00'), Timestamp('2023-06-30 10:00:00'), Timestamp('2023-06-30 11:00:00'), Timestamp('2023-06-30 12:00:00'), Timestamp('2023-06-30 13:00:00'), Timestamp('2023-06-30 14:00:00'), Timestamp('2023-06-30 15:00:00')]","[0.010881, 0.013559, 0.013942, 0.014242, 0.014276, 0.013976, 0.012795, 0.011767, 0.01178]","['WS', 'MS', 'MS', 'MS', 'MS', 'MS', 'WS', 'WS', 'WS']",9,"['local_max', 'local_min']",Sell,1,1,0,0
164,"[Timestamp('2023-06-30 16:00:00'), Timestamp('2023-06-30 17:00:00'), Timestamp('2023-06-30 18:00:00'), Timestamp('2023-06-30 19:00:00'), Timestamp('2023-06-30 20:00:00'), Timestamp('2023-06-30 21:00:00'), Timestamp('2023-06-30 22:00:00'), Timestamp('2023-06-30 23:00:00')]","[0.007418, 0.007244, 0.007505, 0.007798, 0.007881, 0.007608, 0.007714, 0.007708]","['SB', 'SB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB']",8,[],Buy,0,0,0,0
165,"[Timestamp('2023-07-01 00:00:00'), Timestamp('2023-07-01 01:00:00'), Timestamp('2023-07-01 02:00:00'), Timestamp('2023-07-01 03:00:00'), Timestamp('2023-07-01 04:00:00'), Timestamp('2023-07-01 05:00:00'), Timestamp('2023-07-01 06:00:00'), Timestamp('2023-07-01 07:00:00')]","[0.011351, 0.011421, 0.011266, 0.011209, 0.011232, 0.011564, 0.011651, 0.011967]","['WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS']",8,[],Sell,0,0,0,0
166,"[Timestamp('2023-07-01 08:00:00'), Timestamp('2023-07-01 09:00:00'), Timestamp('2023-07-01 10:00:00'), Timestamp('2023-07-01 11:00:00'), Timestamp('2023-07-01 12:00:00'), Timestamp('2023-07-01 13:00:00'), Timestamp('2023-07-01 14:00:00'), Timestamp('2023-07-01 15:00:00')]","[0.009293, 0.009227, 0.009059, 0.00933, 0.009325, 0.009093, 0.00895, 0.008895]","['WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB']",8,[],Buy,0,0,0,0
167,"[Timestamp('2023-07-01 16:00:00'), Timestamp('2023-07-01 17:00:00'), Timestamp('2023-07-01 18:00:00'), Timestamp('2023-07-01 19:00:00')]","[0.010035, 0.010067, 0.010167, 0.010004]","['WS', 'WS', 'WS', 'WS']",4,['local_max'],Sell,0,1,0,0
168,"[Timestamp('2023-07-01 20:00:00'), Timestamp('2023-07-01 21:00:00'), Timestamp('2023-07-01 22:00:00'), Timestamp('2023-07-01 23:00:00'), Timestamp('2023-07-02 00:00:00'), Timestamp('2023-07-02 01:00:00')]","[0.009895, 0.0097, 0.009643, 0.009673, 0.009645, 0.00981]","['WB', 'WB', 'WB', 'WB', 'WB', 'WB']",6,[],Buy,0,0,0,0
169,"[Timestamp('2023-07-02 02:00:00'), Timestamp('2023-07-02 03:00:00'), Timestamp('2023-07-02 04:00:00'), Timestamp('2023-07-02 05:00:00'), Timestamp('2023-07-02 06:00:00'), Timestamp('2023-07-02 07:00:00'), Timestamp('2023-07-02 08:00:00'), Timestamp('2023-07-02 09:00:00'), Timestamp('2023-07-02 10:00:00'), Timestamp('2023-07-02 11:00:00'), Timestamp('2023-07-02 12:00:00')]","[0.010057, 0.010125, 0.010586, 0.010929, 0.011179, 0.011247, 0.010656, 0.010501, 0.010425, 0.01031, 0.010117]","['WS', 'WS', 'MS', 'MS', 'SS', 'SS', 'MS', 'MS', 'WS', 'WS', 'WS']",11,[],Sell,0,0,0,0
170,[Timestamp('2023-07-02 13:00:00')],[0.010098],['WB'],1,[],Buy,0,0,0,0
171,"[Timestamp('2023-07-02 14:00:00'), Timestamp('2023-07-02 15:00:00'), Timestamp('2023-07-02 16:00:00'), Timestamp('2023-07-02 17:00:00'), Timestamp('2023-07-02 18:00:00'), Timestamp('2023-07-02 19:00:00')]","[0.010305, 0.010592, 0.011606, 0.01148, 0.011242, 0.010964]","['WS', 'MS', 'SS', 'SS', 'MS', 'MS']",6,['local_min'],Sell,1,0,0,0
172,"[Timestamp('2023-07-02 20:00:00'), Timestamp('2023-07-02 21:00:00'), Timestamp('2023-07-02 22:00:00')]","[0.009975, 0.009476, 0.009815]","['MB', 'SB', 'MB']",3,[],Buy,0,0,0,0
173,[Timestamp('2023-07-02 23:00:00')],[0.010893],['WS'],1,[],Sell,0,0,0,0
174,"[Timestamp('2023-07-03 00:00:00'), Timestamp('2023-07-03 01:00:00'), Timestamp('2023-07-03 02:00:00'), Timestamp('2023-07-03 03:00:00')]","[0.009991, 0.010201, 0.010448, 0.010496]","['MB', 'WB', 'WB', 'WB']",4,[],Buy,0,0,0,0
175,"[Timestamp('2023-07-03 04:00:00'), Timestamp('2023-07-03 05:00:00'), Timestamp('2023-07-03 06:00:00')]","[0.010975, 0.011113, 0.010854]","['MS', 'MS', 'WS']",3,[],Sell,0,0,0,0
176,[Timestamp('2023-07-03 07:00:00')],[0.010341],['WB'],1,[],Buy,0,0,0,0
177,"[Timestamp('2023-07-03 08:00:00'), Timestamp('2023-07-03 09:00:00'), Timestamp('2023-07-03 10:00:00'), Timestamp('2023-07-03 11:00:00'), Timestamp('2023-07-03 12:00:00'), Timestamp('2023-07-03 13:00:00'), Timestamp('2023-07-03 14:00:00'), Timestamp('2023-07-03 15:00:00')]","[0.013018, 0.012877, 0.012928, 0.013139, 0.01322, 0.013375, 0.013303, 0.013452]","['SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'MS']",8,[],Sell,0,0,0,0
178,"[Timestamp('2023-07-03 16:00:00'), Timestamp('2023-07-03 17:00:00'), Timestamp('2023-07-03 18:00:00'), Timestamp('2023-07-03 19:00:00'), Timestamp('2023-07-03 20:00:00'), Timestamp('2023-07-03 21:00:00'), Timestamp('2023-07-03 22:00:00'), Timestamp('2023-07-03 23:00:00'), Timestamp('2023-07-04 00:00:00'), Timestamp('2023-07-04 01:00:00'), Timestamp('2023-07-04 02:00:00'), Timestamp('2023-07-04 03:00:00'), Timestamp('2023-07-04 04:00:00'), Timestamp('2023-07-04 05:00:00'), Timestamp('2023-07-04 06:00:00'), Timestamp('2023-07-04 07:00:00'), Timestamp('2023-07-04 08:00:00'), Timestamp('2023-07-04 09:00:00'), Timestamp('2023-07-04 10:00:00'), Timestamp('2023-07-04 11:00:00'), Timestamp('2023-07-04 12:00:00'), Timestamp('2023-07-04 13:00:00'), Timestamp('2023-07-04 14:00:00'), Timestamp('2023-07-04 15:00:00')]","[0.010894, 0.010509, 0.009995, 0.009958, 0.010077, 0.009746, 0.009792, 0.009927, 0.01062, 0.010551, 0.010547, 0.010129, 0.009686, 0.009622, 0.009743, 0.009606, 0.007387, 0.006834, 0.007204, 0.007358, 0.006748, 0.006753, 0.006777, 0.006911]","['WB', 'WB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'WB', 'WB', 'WB', 'MB', 'MB', 'MB', 'MB', 'MB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'MB', 'MB']",24,"['local_max', 'local_min', 'local_max']",Buy,0,0,1,2
179,"[Timestamp('2023-07-04 16:00:00'), Timestamp('2023-07-04 17:00:00'), Timestamp('2023-07-04 18:00:00'), Timestamp('2023-07-04 19:00:00'), Timestamp('2023-07-04 20:00:00'), Timestamp('2023-07-04 21:00:00'), Timestamp('2023-07-04 22:00:00'), Timestamp('2023-07-04 23:00:00')]","[0.010584, 0.010672, 0.010561, 0.010353, 0.010939, 0.010935, 0.010636, 0.010533]","['MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS']",8,['local_min'],Sell,1,0,0,0
180,"[Timestamp('2023-07-05 00:00:00'), Timestamp('2023-07-05 01:00:00'), Timestamp('2023-07-05 02:00:00'), Timestamp('2023-07-05 03:00:00'), Timestamp('2023-07-05 04:00:00'), Timestamp('2023-07-05 05:00:00'), Timestamp('2023-07-05 06:00:00'), Timestamp('2023-07-05 07:00:00')]","[0.00635, 0.006367, 0.006461, 0.006697, 0.004776, 0.004926, 0.005075, 0.005022]","['SB', 'MB', 'MB', 'MB', 'SB', 'SB', 'MB', 'MB']",8,['local_max'],Buy,0,0,0,1
181,[Timestamp('2023-07-05 08:00:00')],[0.00781],['WS'],1,[],Sell,0,0,0,0
182,"[Timestamp('2023-07-05 09:00:00'), Timestamp('2023-07-05 10:00:00'), Timestamp('2023-07-05 11:00:00')]","[0.007708, 0.007522, 0.007195]","['WB', 'WB', 'WB']",3,[],Buy,0,0,0,0
183,"[Timestamp('2023-07-05 12:00:00'), Timestamp('2023-07-05 13:00:00'), Timestamp('2023-07-05 14:00:00'), Timestamp('2023-07-05 15:00:00')]","[0.00896, 0.008771, 0.008725, 0.008778]","['WS', 'WS', 'WS', 'WS']",4,['local_min'],Sell,1,0,0,0
184,"[Timestamp('2023-07-05 16:00:00'), Timestamp('2023-07-05 17:00:00'), Timestamp('2023-07-05 18:00:00'), Timestamp('2023-07-05 19:00:00'), Timestamp('2023-07-05 20:00:00'), Timestamp('2023-07-05 21:00:00'), Timestamp('2023-07-05 22:00:00'), Timestamp('2023-07-05 23:00:00')]","[0.006089, 0.0062, 0.006392, 0.006707, 0.005599, 0.005544, 0.00555, 0.005795]","['MB', 'MB', 'WB', 'WB', 'MB', 'MB', 'MB', 'WB']",8,[],Buy,0,0,0,0
185,[Timestamp('2023-07-06 00:00:00')],[0.006717],['WS'],1,[],Sell,0,0,0,0
186,"[Timestamp('2023-07-06 01:00:00'), Timestamp('2023-07-06 02:00:00'), Timestamp('2023-07-06 03:00:00')]","[0.006601, 0.006395, 0.005972]","['WB', 'WB', 'WB']",3,[],Buy,0,0,0,0
187,[Timestamp('2023-07-06 04:00:00')],[0.006943],['WS'],1,[],Sell,0,0,0,0
188,"[Timestamp('2023-07-06 05:00:00'), Timestamp('2023-07-06 06:00:00'), Timestamp('2023-07-06 07:00:00')]","[0.006664, 0.006787, 0.006867]","['WB', 'WB', 'WB']",3,[],Buy,0,0,0,0
189,"[Timestamp('2023-07-06 08:00:00'), Timestamp('2023-07-06 09:00:00'), Timestamp('2023-07-06 10:00:00'), Timestamp('2023-07-06 11:00:00'), Timestamp('2023-07-06 12:00:00'), Timestamp('2023-07-06 13:00:00'), Timestamp('2023-07-06 14:00:00')]","[0.007913, 0.008945, 0.009389, 0.009452, 0.009411, 0.009239, 0.008023]","['MS', 'SS', 'SS', 'SS', 'SS', 'MS', 'WS']",7,"['local_max', 'local_min', 'local_max', 'local_min']",Sell,2,2,0,0
