Bucket,Dates,Values,Signal,Count,Local Extrema,Sell\Buy,Sell Local Min Count,Sell Local Max Count,Buy Local Min Count,Buy Local Max Count
11,"[Timestamp('2023-04-24 00:00:00'), Timestamp('2023-04-24 01:00:00'), Timestamp('2023-04-24 02:00:00')]","[0.002526, 0.002326, 0.001554]","['WS', 'WS', 'WS']",3,['local_max'],Sell,0,1,0,0
12,"[Timestamp('2023-04-24 03:00:00'), Timestamp('2023-04-24 04:00:00'), Timestamp('2023-04-24 05:00:00'), Timestamp('2023-04-24 06:00:00'), Timestamp('2023-04-24 07:00:00'), Timestamp('2023-04-24 08:00:00')]","[0.001546, 0.001503, 0.000574, 0.000603, 0.000963, 0.001621]","['WB', 'WB', 'WB', 'WB', 'WB', 'WB']",6,['local_min'],Buy,0,0,1,0
13,"[Timestamp('2023-04-24 09:00:00'), Timestamp('2023-04-24 10:00:00'), Timestamp('2023-04-24 11:00:00'), Timestamp('2023-04-24 12:00:00'), Timestamp('2023-04-24 13:00:00'), Timestamp('2023-04-24 14:00:00'), Timestamp('2023-04-24 15:00:00'), Timestamp('2023-04-24 16:00:00'), Timestamp('2023-04-24 17:00:00'), Timestamp('2023-04-24 18:00:00'), Timestamp('2023-04-24 19:00:00'), Timestamp('2023-04-24 20:00:00'), Timestamp('2023-04-24 21:00:00'), Timestamp('2023-04-24 22:00:00'), Timestamp('2023-04-24 23:00:00')]","[0.001869, 0.001841, 0.001724, 0.003088, 0.003194, 0.003016, 0.002765, 0.007625, 0.007765, 0.007826, 0.007845, 0.006761, 0.006749, 0.006402, 0.005727]","['WS', 'WS', 'WS', 'MS', 'SS', 'MS', 'MS', 'SS', 'SS', 'SS', 'SS', 'MS', 'MS', 'MS', 'MS']",15,"['local_max', 'local_min', 'local_max']",Sell,1,2,0,0
14,"[Timestamp('2023-04-25 00:00:00'), Timestamp('2023-04-25 01:00:00'), Timestamp('2023-04-25 02:00:00'), Timestamp('2023-04-25 03:00:00'), Timestamp('2023-04-25 04:00:00'), Timestamp('2023-04-25 05:00:00'), Timestamp('2023-04-25 06:00:00'), Timestamp('2023-04-25 07:00:00')]","[-0.001782, -0.002427, -0.002543, -0.001499, -0.003259, -0.003276, -0.002877, -0.002397]","['SB', 'SB', 'SB', 'MB', 'SB', 'SB', 'MB', 'MB']",8,['local_min'],Buy,0,0,1,0
15,"[Timestamp('2023-04-25 08:00:00'), Timestamp('2023-04-25 09:00:00'), Timestamp('2023-04-25 10:00:00'), Timestamp('2023-04-25 11:00:00'), Timestamp('2023-04-25 12:00:00'), Timestamp('2023-04-25 13:00:00'), Timestamp('2023-04-25 14:00:00'), Timestamp('2023-04-25 15:00:00')]","[0.003704, 0.003921, 0.003986, 0.003897, 0.006411, 0.006461, 0.006121, 0.005742]","['WS', 'WS', 'WS', 'WS', 'MS', 'MS', 'MS', 'WS']",8,"['local_max', 'local_min']",Sell,1,1,0,0
16,"[Timestamp('2023-04-25 16:00:00'), Timestamp('2023-04-25 17:00:00')]","[0.002998, 0.002415]","['WB', 'WB']",2,[],Buy,0,0,0,0
17,[Timestamp('2023-04-25 18:00:00')],[0.002655],['WS'],1,[],Sell,0,0,0,0
18,[Timestamp('2023-04-25 19:00:00')],[0.002069],['WB'],1,[],Buy,0,0,0,0
19,"[Timestamp('2023-04-25 20:00:00'), Timestamp('2023-04-25 21:00:00'), Timestamp('2023-04-25 22:00:00'), Timestamp('2023-04-25 23:00:00'), Timestamp('2023-04-26 00:00:00'), Timestamp('2023-04-26 01:00:00'), Timestamp('2023-04-26 02:00:00'), Timestamp('2023-04-26 03:00:00'), Timestamp('2023-04-26 04:00:00'), Timestamp('2023-04-26 05:00:00'), Timestamp('2023-04-26 06:00:00'), Timestamp('2023-04-26 07:00:00')]","[0.00259, 0.002563, 0.002421, 0.002328, 0.003353, 0.004295, 0.004031, 0.003167, 0.003784, 0.003806, 0.003904, 0.004278]","['WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS']",12,[],Sell,0,0,0,0
20,"[Timestamp('2023-04-26 08:00:00'), Timestamp('2023-04-26 09:00:00'), Timestamp('2023-04-26 10:00:00'), Timestamp('2023-04-26 11:00:00'), Timestamp('2023-04-26 12:00:00'), Timestamp('2023-04-26 13:00:00')]","[0.000704, 0.001804, 0.00073, 0.000494, 0.001465, 0.002921]","['SB', 'MB', 'SB', 'SB', 'MB', 'WB']",6,['local_max'],Buy,0,0,0,1
21,"[Timestamp('2023-04-26 14:00:00'), Timestamp('2023-04-26 15:00:00'), Timestamp('2023-04-26 16:00:00'), Timestamp('2023-04-26 17:00:00'), Timestamp('2023-04-26 18:00:00'), Timestamp('2023-04-26 19:00:00'), Timestamp('2023-04-26 20:00:00'), Timestamp('2023-04-26 21:00:00'), Timestamp('2023-04-26 22:00:00'), Timestamp('2023-04-26 23:00:00')]","[0.00382, 0.004355, 0.010605, 0.010605, 0.010604, 0.010598, 0.010547, 0.010527, 0.010365, 0.009414]","['MS', 'MS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'MS', 'MS']",10,"['local_min', 'local_max', 'local_min']",Sell,2,1,0,0
