,E:\SignalModel\price features\0.004\new_analysis_dataframe.csv,E:\SignalModel\price features\0.005\new_analysis_dataframe.csv,E:\SignalModel\price features\0.006\new_analysis_dataframe.csv,E:\SignalModel\price features\0.007\new_analysis_dataframe.csv,E:\SignalModel\price features\0.008\new_analysis_dataframe.csv,E:\SignalModel\price features\0.009\new_analysis_dataframe.csv,E:\SignalModel\price features\0.01\new_analysis_dataframe.csv,E:\SignalModel\price features\0.011\new_analysis_dataframe.csv,E:\SignalModel\price features\0.012\new_analysis_dataframe.csv,E:\SignalModel\price features\0.013\new_analysis_dataframe.csv,E:\SignalModel\price features\0.014\new_analysis_dataframe.csv,E:\SignalModel\price features\0.015\new_analysis_dataframe.csv,E:\SignalModel\price features\0.016\new_analysis_dataframe.csv,E:\SignalModel\price features\0.017\new_analysis_dataframe.csv,E:\SignalModel\price features\0.018\new_analysis_dataframe.csv,E:\SignalModel\price features\0.019\new_analysis_dataframe.csv,E:\SignalModel\price features\0.02\new_analysis_dataframe.csv
count,7123.0,4997.0,3689.0,2835.0,2241.0,1842.0,1516.0,1268.0,1046.0,904.0,792.0,690.0,617.0,555.0,513.0,470.0,424.0
mean,0.00016208938003650137,0.00023389926761365582,0.00032028119077542346,0.00041933082215735943,0.0005326667871684772,0.0006540509454774797,0.0007736750125174938,0.0009327897880112252,0.0011506639541633168,0.0013332239734073713,0.001529002701785049,0.0017630108114231084,0.0019466165734175207,0.0021714868621415836,0.0023488104789747607,0.0026074510962648067,0.002894179774617913
std,0.010893925079269187,0.013226233277140472,0.01561354543992058,0.017961735706253344,0.02031968264088017,0.022483381176456055,0.024835116126625336,0.027432794713476014,0.03088364774073552,0.03327340065977841,0.03577823971055367,0.038560115618443795,0.04079977844769391,0.04318910652631486,0.04492559890490944,0.0470660316002242,0.04967774495449034
min,-0.104548359,-0.1045580569233658,-0.1161657912928215,-0.1161657912928215,-0.1161657912928215,-0.1161657912928215,-0.1161657912928215,-0.1161657912928215,-0.1644174796528863,-0.1644174796528863,-0.1644174796528863,-0.1644174796528863,-0.1644174796528863,-0.1644174796528863,-0.1644174796528863,-0.1644174796528863,-0.1644174796528863
25%,-0.0073595995,-0.0089574805870853,-0.0106691306297868,-0.01227011086438435,-0.01399943762302,-0.015682447712825974,-0.017352498059233702,-0.0194289521722253,-0.021294945676012624,-0.0229512561811666,-0.024425114548317976,-0.026095130061288774,-0.0270645182249366,-0.0282576620552326,-0.0292962872913813,-0.0311981096764881,-0.033536215948513574
50%,-0.004000421,-0.0050009270255507,-0.0060030847227274,-0.0070005027595283,-0.0080062521708926,6.015089738398843e-06,-4.458228868998992e-06,-1.0865321668149241e-05,-1.3910670079900211e-05,-5.1385761650400014e-05,-1.4738295779500102e-05,-3.246826157285096e-05,-0.0160837983001863,-0.0170501999714811,-0.0180377751150911,0.0001991573449606973,9.311860092998253e-06
75%,0.00763839,0.0094216559533161,0.0110918719979135,0.01256550006076765,0.0145739291285321,0.0161154133841141,0.018203330360082374,0.01990972024697205,0.0220525555474446,0.024223506620420276,0.026344132006614222,0.028753484162152575,0.0307748396203065,0.03182181402950415,0.0333532182816162,0.03390380652202912,0.03545478262564282
max,0.089400151,0.1043040876098306,0.1043040876098306,0.1043040876098306,0.1043040876098306,0.1043040876098306,0.1043040876098306,0.1043040876098306,0.1532953224051915,0.1532953224051915,0.1532953224051915,0.1532953224051915,0.1532953224051915,0.1532953224051915,0.1641159810989277,0.1812798185601276,0.1812798185601276
