count,mean,std,min,25%,50%,75%,max,Subset,Dataset
3561.0,0.009395710956472899,0.005894677498093242,0.004001228,0.005520473,0.007638693,0.011209405,0.089400151,Positive,E:\SignalModel\price features\0.004\new_analysis_dataframe.csv
3562.0,-0.009068939938798428,0.005667640008495908,-0.104548359,-0.01082590175,-0.0073595995,-0.00544743,-0.004000421,Negative,E:\SignalModel\price features\0.004\new_analysis_dataframe.csv
2498.0,0.0115079872462178,0.00708526126855502,0.0050029770765109,0.0068242443431411,0.00942279010554625,0.013569118484302626,0.1043040876098306,Positive,E:\SignalModel\price features\0.005\new_analysis_dataframe.csv
2499.0,-0.01103567727122314,0.006747325801921815,-0.1045580569233658,-0.013198875634809051,-0.0089574805870853,-0.0066519208917127,-0.0050009270255507,Negative,E:\SignalModel\price features\0.005\new_analysis_dataframe.csv
1844.0,0.013652776670431516,0.008302721829711734,0.0060020422608756,0.00813658528158445,0.011094799639430851,0.015967587969987623,0.1043040876098306,Positive,E:\SignalModel\price features\0.006\new_analysis_dataframe.csv
1845.0,-0.013004988004067849,0.007953192385163175,-0.1161657912928215,-0.0153668062019129,-0.0106691306297868,-0.0079094452628196,-0.0060030847227274,Negative,E:\SignalModel\price features\0.006\new_analysis_dataframe.csv
1417.0,0.01583038273749017,0.00963017345371884,0.0070103317316199,0.0094520478836494,0.0125747669635148,0.0187532890015786,0.1043040876098306,Positive,E:\SignalModel\price features\0.007\new_analysis_dataframe.csv
1418.0,-0.014980852932445317,0.008817003699029682,-0.1161657912928215,-0.0175738955276933,-0.01227011086438435,-0.009164000399759875,-0.0070005027595283,Negative,E:\SignalModel\price features\0.007\new_analysis_dataframe.csv
1120.0,0.01805033647917847,0.010943794082662545,0.0080029013903499,0.010779815397106525,0.014579367041572599,0.021235934775579772,0.1043040876098306,Positive,E:\SignalModel\price features\0.008\new_analysis_dataframe.csv
1121.0,-0.016969376080852205,0.009625775474361234,-0.1161657912928215,-0.0205154411279187,-0.01399943762302,-0.0105009431237542,-0.0080062521708926,Negative,E:\SignalModel\price features\0.008\new_analysis_dataframe.csv
